,numberOfFinalProperties,numberOfProperties,status,dateApproved,dateClosed,dateInitiallyApproved
141,1,1,Closed,2012-09-19T00:00:00.000Z,2012-09-21T00:00:00.000Z,2006-08-03T00:00:00.000Z
143,0,0,Closed,2013-10-03T00:00:00.000Z,2013-10-03T00:00:00.000Z,2007-10-30T00:00:00.000Z
144,1,1,Closed,2011-03-10T00:00:00.000Z,2011-06-21T00:00:00.000Z,2007-01-26T00:00:00.000Z
145,2,2,Closed,2009-05-26T00:00:00.000Z,2009-01-29T00:00:00.000Z,2007-03-15T00:00:00.000Z
146,0,0,Closed,2014-12-04T00:00:00.000Z,2016-10-25T00:00:00.000Z,2015-01-12T00:00:00.000Z
148,0,0,Closed,2006-04-19T00:00:00.000Z,2014-03-20T00:00:00.000Z,2006-05-06T00:00:00.000Z
150,0,0,Closed,2007-09-28T00:00:00.000Z,2016-02-29T00:00:00.000Z,2008-08-27T00:00:00.000Z
158,2,6,Closed,2014-10-20T00:00:00.000Z,2014-10-15T00:00:00.000Z,2009-10-26T00:00:00.000Z
159,0,0,Closed,2014-01-17T00:00:00.000Z,2014-01-17T00:00:00.000Z,2010-12-09T00:00:00.000Z
160,0,0,Closed,2017-08-24T00:00:00.000Z,2017-08-24T00:00:00.000Z,2010-06-24T00:00:00.000Z
161,1,1,Closed,2017-08-15T00:00:00.000Z,2017-08-15T00:00:00.000Z,2010-08-11T00:00:00.000Z
162,0,0,Closed,2013-12-05T00:00:00.000Z,2014-01-13T00:00:00.000Z,2012-04-02T00:00:00.000Z
165,1,1,Closed,2005-09-15T00:00:00.000Z,2008-08-26T00:00:00.000Z,2005-09-16T00:00:00.000Z
169,0,0,Closed,2009-07-02T00:00:00.000Z,2009-07-27T00:00:00.000Z,2009-07-27T00:00:00.000Z
172,2,2,Closed,2010-09-09T00:00:00.000Z,2014-01-05T00:00:00.000Z,2010-09-22T00:00:00.000Z
173,1,1,Closed,2006-09-19T00:00:00.000Z,2009-08-21T00:00:00.000Z,2006-09-20T00:00:00.000Z
176,0,0,Closed,2010-07-09T00:00:00.000Z,2016-08-17T00:00:00.000Z,2010-09-23T00:00:00.000Z
177,7,7,Closed,2007-08-28T00:00:00.000Z,2011-04-13T00:00:00.000Z,2007-09-06T00:00:00.000Z
181,3,3,Closed,2016-09-16T00:00:00.000Z,2021-08-26T00:00:00.000Z,2016-09-21T00:00:00.000Z
182,0,0,Closed,2018-06-22T00:00:00.000Z,2021-08-16T00:00:00.000Z,2018-07-03T00:00:00.000Z
183,0,0,Closed,2011-01-31T00:00:00.000Z,2012-07-16T00:00:00.000Z,2011-01-31T00:00:00.000Z
184,0,0,Closed,2014-12-17T00:00:00.000Z,2014-12-23T00:00:00.000Z,2011-04-21T00:00:00.000Z
185,1,1,Closed,2022-06-27T00:00:00.000Z,2022-06-29T00:00:00.000Z,2012-04-30T00:00:00.000Z
186,0,0,Closed,2020-07-10T00:00:00.000Z,2020-07-10T00:00:00.000Z,2014-01-29T00:00:00.000Z
187,0,0,Closed,2010-12-10T00:00:00.000Z,2012-03-19T00:00:00.000Z,2010-12-10T00:00:00.000Z
188,1,1,Closed,2014-10-16T00:00:00.000Z,2014-10-16T00:00:00.000Z,2012-02-16T00:00:00.000Z
189,0,0,Closed,2019-02-13T00:00:00.000Z,2019-02-20T00:00:00.000Z,2011-11-03T00:00:00.000Z
190,1,1,Closed,2022-06-24T00:00:00.000Z,2022-06-28T00:00:00.000Z,2012-04-30T00:00:00.000Z
191,1,1,Closed,2022-07-28T00:00:00.000Z,2022-07-29T00:00:00.000Z,2013-01-23T00:00:00.000Z
198,0,0,Closed,2015-10-27T00:00:00.000Z,2015-11-04T00:00:00.000Z,2012-12-19T00:00:00.000Z
199,3,3,Closed,2016-08-11T00:00:00.000Z,2016-08-11T00:00:00.000Z,2013-12-09T00:00:00.000Z
202,0,0,Closed,2024-05-13T00:00:00.000Z,2024-05-13T00:00:00.000Z,2014-11-20T00:00:00.000Z
203,1,1,Closed,2016-02-24T00:00:00.000Z,2015-12-02T00:00:00.000Z,2014-10-15T00:00:00.000Z
204,1,1,Closed,2016-04-07T00:00:00.000Z,2016-04-08T00:00:00.000Z,2013-07-30T00:00:00.000Z
205,0,0,Closed,2014-04-18T00:00:00.000Z,2016-05-25T00:00:00.000Z,2014-04-18T00:00:00.000Z
206,8,8,Closed,2024-08-27T00:00:00.000Z,2024-08-28T00:00:00.000Z,2014-09-25T00:00:00.000Z
207,0,0,Closed,2016-01-07T00:00:00.000Z,2016-02-01T00:00:00.000Z,2015-07-01T00:00:00.000Z
208,0,0,Closed,2015-07-22T00:00:00.000Z,2018-04-18T00:00:00.000Z,2015-05-29T00:00:00.000Z
209,0,0,Closed,2016-07-27T00:00:00.000Z,2016-07-28T00:00:00.000Z,2015-10-02T00:00:00.000Z
210,0,0,Closed,2015-05-28T00:00:00.000Z,2018-01-18T00:00:00.000Z,2015-06-18T00:00:00.000Z
211,0,0,Closed,2018-06-19T00:00:00.000Z,2020-06-30T00:00:00.000Z,2018-06-22T00:00:00.000Z
213,1,1,Closed,2005-09-09T00:00:00.000Z,2011-12-06T00:00:00.000Z,2005-09-16T00:00:00.000Z
223,1,1,Closed,2020-10-29T00:00:00.000Z,2021-07-19T00:00:00.000Z,2020-10-29T00:00:00.000Z
225,1,1,Closed,2020-12-03T00:00:00.000Z,2021-08-05T00:00:00.000Z,2020-12-03T00:00:00.000Z
226,1,1,Closed,2020-10-28T00:00:00.000Z,2021-07-15T00:00:00.000Z,2020-10-28T00:00:00.000Z
227,2,3,Closed,2023-08-02T00:00:00.000Z,2023-08-02T00:00:00.000Z,2020-06-19T00:00:00.000Z
229,0,0,Closed,2020-04-09T00:00:00.000Z,2022-12-19T00:00:00.000Z,2020-04-09T00:00:00.000Z
232,1,1,Closed,2020-10-23T00:00:00.000Z,2021-07-19T00:00:00.000Z,2020-10-23T00:00:00.000Z
233,1,1,Closed,2021-03-16T00:00:00.000Z,2021-07-28T00:00:00.000Z,2020-07-06T00:00:00.000Z
237,0,0,Closed,2024-02-15T00:00:00.000Z,2024-02-15T00:00:00.000Z,2020-12-14T00:00:00.000Z
240,0,0,Closed,2015-06-11T00:00:00.000Z,2015-06-11T00:00:00.000Z,2013-06-24T00:00:00.000Z
241,0,0,Closed,2021-02-26T00:00:00.000Z,2020-08-14T00:00:00.000Z,2014-09-02T00:00:00.000Z
242,2,2,Closed,2016-05-25T00:00:00.000Z,2016-08-04T00:00:00.000Z,2015-03-10T00:00:00.000Z
244,1,1,Closed,2020-10-14T00:00:00.000Z,2020-10-14T00:00:00.000Z,2015-10-19T00:00:00.000Z
246,0,0,Closed,2020-10-09T00:00:00.000Z,2020-10-09T00:00:00.000Z,2015-05-11T00:00:00.000Z
248,0,0,Closed,2018-11-06T00:00:00.000Z,2021-02-23T00:00:00.000Z,2017-09-18T00:00:00.000Z
249,1,1,Closed,2023-05-26T00:00:00.000Z,2023-05-26T00:00:00.000Z,2017-11-09T00:00:00.000Z
250,0,0,Closed,2020-01-02T00:00:00.000Z,2020-01-03T00:00:00.000Z,2016-05-23T00:00:00.000Z
251,0,0,Closed,2024-01-04T00:00:00.000Z,2024-01-08T00:00:00.000Z,2020-11-23T00:00:00.000Z
252,0,0,Closed,2018-01-16T00:00:00.000Z,2023-05-15T00:00:00.000Z,2018-01-16T00:00:00.000Z
253,3,4,Closed,2022-05-18T00:00:00.000Z,2022-05-18T00:00:00.000Z,2019-08-19T00:00:00.000Z
254,0,0,Closed,2022-03-17T00:00:00.000Z,2022-03-17T00:00:00.000Z,2019-01-02T00:00:00.000Z
256,0,0,Closed,2024-10-24T00:00:00.000Z,2024-10-24T00:00:00.000Z,2019-09-12T00:00:00.000Z
260,3,3,Closed,2019-09-24T00:00:00.000Z,2021-04-13T00:00:00.000Z,2019-09-27T00:00:00.000Z
262,0,0,Closed,2007-08-16T00:00:00.000Z,2009-03-22T00:00:00.000Z,2007-09-21T00:00:00.000Z
263,1,1,Closed,2016-06-15T00:00:00.000Z,2017-04-19T00:00:00.000Z,2016-07-14T00:00:00.000Z
264,1,1,Closed,2016-02-18T00:00:00.000Z,2016-07-20T00:00:00.000Z,2015-10-05T00:00:00.000Z
265,0,0,Closed,2019-05-08T00:00:00.000Z,2019-05-17T00:00:00.000Z,2015-10-13T00:00:00.000Z
266,0,0,Closed,2022-08-25T00:00:00.000Z,2022-08-29T00:00:00.000Z,2016-09-09T00:00:00.000Z
267,3,3,Closed,2017-12-20T00:00:00.000Z,2017-12-20T00:00:00.000Z,2015-09-14T00:00:00.000Z
268,1,1,Closed,2006-09-21T00:00:00.000Z,2009-09-29T00:00:00.000Z,2006-09-29T00:00:00.000Z
269,0,0,Closed,2012-06-19T00:00:00.000Z,2012-08-14T00:00:00.000Z,2012-08-14T00:00:00.000Z
273,0,0,Closed,2008-09-18T00:00:00.000Z,2018-07-30T00:00:00.000Z,2008-09-26T00:00:00.000Z
275,0,0,Closed,2017-09-13T00:00:00.000Z,2021-05-20T00:00:00.000Z,2017-09-25T00:00:00.000Z
287,0,0,Closed,2024-09-16T00:00:00.000Z,2024-09-16T00:00:00.000Z,2019-03-12T00:00:00.000Z
288,0,0,Closed,2020-08-29T00:00:00.000Z,2021-08-30T00:00:00.000Z,2019-05-07T00:00:00.000Z
291,0,0,Closed,2024-02-07T00:00:00.000Z,2024-02-14T00:00:00.000Z,2019-06-28T00:00:00.000Z
295,0,0,Closed,2021-03-05T00:00:00.000Z,2023-12-11T00:00:00.000Z,2021-03-18T00:00:00.000Z
296,0,0,Closed,2016-09-15T00:00:00.000Z,2020-02-21T00:00:00.000Z,2016-09-15T00:00:00.000Z
298,0,0,Closed,2012-09-28T00:00:00.000Z,2017-12-14T00:00:00.000Z,2012-09-28T00:00:00.000Z
299,0,0,Closed,2012-07-30T00:00:00.000Z,2018-02-27T00:00:00.000Z,2012-07-31T00:00:00.000Z
301,0,0,Closed,2005-03-15T00:00:00.000Z,2008-11-19T00:00:00.000Z,2005-03-21T00:00:00.000Z
302,0,0,Closed,2021-03-08T00:00:00.000Z,2021-03-09T00:00:00.000Z,2015-02-10T00:00:00.000Z
303,0,0,Closed,2019-03-22T00:00:00.000Z,2019-09-03T00:00:00.000Z,2016-04-26T00:00:00.000Z
304,1,1,Closed,2019-03-22T00:00:00.000Z,2019-03-22T00:00:00.000Z,2018-01-08T00:00:00.000Z
305,0,0,Closed,2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,2018-05-22T00:00:00.000Z
308,3,3,Closed,2023-09-27T00:00:00.000Z,2023-10-18T00:00:00.000Z,2019-02-15T00:00:00.000Z
312,0,0,Closed,2022-07-07T00:00:00.000Z,2022-07-07T00:00:00.000Z,2018-04-26T00:00:00.000Z
313,0,0,Closed,2021-08-09T00:00:00.000Z,2022-01-04T00:00:00.000Z,2019-06-18T00:00:00.000Z
317,0,0,Closed,2006-01-12T00:00:00.000Z,2010-01-14T00:00:00.000Z,2006-01-19T00:00:00.000Z
325,222,222,Closed,2011-09-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,2011-09-27T00:00:00.000Z
326,0,0,Closed,2014-09-04T00:00:00.000Z,2018-10-15T00:00:00.000Z,2014-09-30T00:00:00.000Z
327,0,0,Closed,2023-09-07T00:00:00.000Z,2023-09-07T00:00:00.000Z,2020-07-08T00:00:00.000Z
328,1,1,Closed,2024-03-25T00:00:00.000Z,2024-04-09T00:00:00.000Z,2021-02-16T00:00:00.000Z
334,4,4,Closed,2023-09-25T00:00:00.000Z,2023-09-25T00:00:00.000Z,2020-10-07T00:00:00.000Z
337,1,1,Closed,2023-06-13T00:00:00.000Z,2024-04-01T00:00:00.000Z,2020-10-23T00:00:00.000Z
343,0,0,Closed,2020-07-16T00:00:00.000Z,2024-10-02T00:00:00.000Z,2020-07-31T00:00:00.000Z
346,0,0,Closed,2004-04-05T00:00:00.000Z,2008-06-10T00:00:00.000Z,2004-04-13T00:00:00.000Z
347,0,0,Closed,2012-09-07T00:00:00.000Z,2019-03-27T00:00:00.000Z,2012-09-14T00:00:00.000Z
348,0,0,Closed,2010-09-08T00:00:00.000Z,2015-07-24T00:00:00.000Z,2010-09-24T00:00:00.000Z
350,1,1,Closed,2014-04-24T00:00:00.000Z,2019-03-14T00:00:00.000Z,2014-04-25T00:00:00.000Z
352,0,0,Closed,2016-12-21T00:00:00.000Z,2019-08-09T00:00:00.000Z,2016-12-22T00:00:00.000Z
354,1,1,Closed,2006-09-15T00:00:00.000Z,2010-01-04T00:00:00.000Z,2006-09-27T00:00:00.000Z
355,1,3,Closed,2025-01-30T00:00:00.000Z,2025-02-19T00:00:00.000Z,2019-03-18T00:00:00.000Z
363,0,0,Closed,2020-09-17T00:00:00.000Z,2020-09-17T00:00:00.000Z,2019-08-05T00:00:00.000Z
365,0,0,Closed,2023-02-28T00:00:00.000Z,2023-07-18T00:00:00.000Z,2020-03-18T00:00:00.000Z
369,1,1,Closed,2020-06-05T00:00:00.000Z,2021-08-09T00:00:00.000Z,2020-06-05T00:00:00.000Z
370,1,1,Closed,2021-12-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,2021-01-04T00:00:00.000Z
391,0,0,Closed,2017-01-12T00:00:00.000Z,2023-08-29T00:00:00.000Z,2017-01-13T00:00:00.000Z
396,0,0,Closed,2020-09-15T00:00:00.000Z,2022-11-04T00:00:00.000Z,2020-09-22T00:00:00.000Z
401,0,0,Closed,2007-07-03T00:00:00.000Z,2010-06-30T00:00:00.000Z,2007-07-12T00:00:00.000Z
402,0,0,Closed,2005-09-06T00:00:00.000Z,2005-09-09T00:00:00.000Z,2005-09-09T00:00:00.000Z
403,0,0,Closed,2015-02-12T00:00:00.000Z,2017-08-03T00:00:00.000Z,2015-03-18T00:00:00.000Z
406,0,0,Closed,2013-08-06T00:00:00.000Z,2019-02-04T00:00:00.000Z,2013-08-26T00:00:00.000Z
409,0,0,Closed,2008-04-25T00:00:00.000Z,2012-12-31T00:00:00.000Z,2008-05-21T00:00:00.000Z
410,1,1,Closed,2021-02-01T00:00:00.000Z,2021-07-21T00:00:00.000Z,2020-05-20T00:00:00.000Z
413,0,0,Closed,2021-10-01T00:00:00.000Z,2021-10-01T00:00:00.000Z,2019-10-08T00:00:00.000Z
414,1,1,Closed,2020-07-13T00:00:00.000Z,2022-11-30T00:00:00.000Z,2020-07-13T00:00:00.000Z
415,0,0,Closed,2022-12-21T00:00:00.000Z,2022-12-21T00:00:00.000Z,2019-04-22T00:00:00.000Z
417,0,0,Closed,2022-04-11T00:00:00.000Z,2022-07-13T00:00:00.000Z,2021-01-26T00:00:00.000Z
418,1,1,Closed,2020-11-02T00:00:00.000Z,2021-08-06T00:00:00.000Z,2020-11-02T00:00:00.000Z
419,1,1,Closed,2021-02-23T00:00:00.000Z,2021-08-09T00:00:00.000Z,2020-11-16T00:00:00.000Z
432,1,1,Closed,2025-01-13T00:00:00.000Z,2025-01-17T00:00:00.000Z,2023-06-28T00:00:00.000Z
444,0,0,Closed,2014-11-05T00:00:00.000Z,2018-10-10T00:00:00.000Z,2014-11-19T00:00:00.000Z
446,1,1,Closed,2023-11-15T00:00:00.000Z,2023-11-27T00:00:00.000Z,2018-06-14T00:00:00.000Z
451,1,1,Closed,2021-03-08T00:00:00.000Z,2023-11-28T00:00:00.000Z,2021-03-08T00:00:00.000Z
453,1,1,Closed,2006-07-12T00:00:00.000Z,2006-07-15T00:00:00.000Z,2006-07-15T00:00:00.000Z
454,0,0,Closed,2014-12-29T00:00:00.000Z,2019-05-21T00:00:00.000Z,2015-02-17T00:00:00.000Z
455,0,0,Closed,2005-09-03T00:00:00.000Z,2018-04-27T00:00:00.000Z,2005-09-16T00:00:00.000Z
456,0,0,Closed,2019-09-16T00:00:00.000Z,2023-06-30T00:00:00.000Z,2019-09-16T00:00:00.000Z
457,1,1,Closed,2005-08-30T00:00:00.000Z,2018-04-27T00:00:00.000Z,2005-09-16T00:00:00.000Z
458,0,1,Closed,2007-09-05T00:00:00.000Z,2012-08-22T00:00:00.000Z,2007-09-21T00:00:00.000Z
459,1,1,Closed,2011-06-16T00:00:00.000Z,2014-10-14T00:00:00.000Z,2011-08-24T00:00:00.000Z
460,7,7,Closed,2021-08-05T00:00:00.000Z,2024-06-01T00:00:00.000Z,2021-08-05T00:00:00.000Z
461,0,0,Closed,2015-04-09T00:00:00.000Z,2017-07-27T00:00:00.000Z,2015-04-10T00:00:00.000Z
463,0,0,Closed,2006-06-14T00:00:00.000Z,2009-11-06T00:00:00.000Z,2006-07-11T00:00:00.000Z
464,15,15,Closed,2005-09-21T00:00:00.000Z,2011-12-06T00:00:00.000Z,2005-09-21T00:00:00.000Z
465,0,0,Closed,2016-03-03T00:00:00.000Z,2016-03-25T00:00:00.000Z,2016-03-25T00:00:00.000Z
466,0,0,Closed,2023-11-07T00:00:00.000Z,2023-11-07T00:00:00.000Z,2021-09-20T00:00:00.000Z
467,0,0,Closed,2022-12-17T00:00:00.000Z,2022-12-17T00:00:00.000Z,2019-08-02T00:00:00.000Z
471,0,0,Closed,2022-08-18T00:00:00.000Z,2022-08-22T00:00:00.000Z,2019-06-05T00:00:00.000Z
472,1,1,Closed,2022-08-22T00:00:00.000Z,2022-03-24T00:00:00.000Z,2021-02-22T00:00:00.000Z
473,1,1,Closed,2023-07-06T00:00:00.000Z,2023-07-05T00:00:00.000Z,2020-07-01T00:00:00.000Z
475,1,1,Closed,2021-03-17T00:00:00.000Z,2023-07-17T00:00:00.000Z,2021-03-17T00:00:00.000Z
476,1,1,Closed,2021-03-11T00:00:00.000Z,2021-07-21T00:00:00.000Z,2020-05-20T00:00:00.000Z
477,0,0,Closed,2020-09-03T00:00:00.000Z,2023-08-29T00:00:00.000Z,2020-09-03T00:00:00.000Z
497,0,0,Closed,2020-08-18T00:00:00.000Z,2024-08-29T00:00:00.000Z,2020-09-17T00:00:00.000Z
498,0,0,Closed,2015-08-10T00:00:00.000Z,2020-08-26T00:00:00.000Z,2015-08-18T00:00:00.000Z
503,0,0,Closed,2021-05-13T00:00:00.000Z,2021-05-13T00:00:00.000Z,2018-01-22T00:00:00.000Z
510,0,0,Closed,2015-05-06T00:00:00.000Z,2018-05-16T00:00:00.000Z,2015-06-08T00:00:00.000Z
511,0,0,Closed,2004-03-25T00:00:00.000Z,2019-12-10T00:00:00.000Z,2004-04-23T00:00:00.000Z
514,1,1,Closed,2005-09-06T00:00:00.000Z,2005-09-14T00:00:00.000Z,2005-09-14T00:00:00.000Z
515,0,0,Closed,2022-07-14T00:00:00.000Z,2022-07-13T00:00:00.000Z,2019-12-13T00:00:00.000Z
528,6,9,Closed,2022-05-31T00:00:00.000Z,2022-05-31T00:00:00.000Z,2016-08-24T00:00:00.000Z
535,0,0,Closed,2018-01-24T00:00:00.000Z,2023-07-25T00:00:00.000Z,2018-01-24T00:00:00.000Z
536,0,0,Closed,2021-05-07T00:00:00.000Z,2021-05-07T00:00:00.000Z,2016-12-13T00:00:00.000Z
537,0,0,Closed,2024-05-14T00:00:00.000Z,2024-05-14T00:00:00.000Z,2019-11-26T00:00:00.000Z
538,1,1,Closed,2022-07-26T00:00:00.000Z,2022-07-27T00:00:00.000Z,2017-10-05T00:00:00.000Z
540,1,1,Closed,2022-07-14T00:00:00.000Z,2022-07-18T00:00:00.000Z,2017-10-04T00:00:00.000Z
541,1,1,Closed,2022-01-28T00:00:00.000Z,2022-02-01T00:00:00.000Z,2019-02-21T00:00:00.000Z
542,0,0,Closed,2021-09-15T00:00:00.000Z,2021-09-16T00:00:00.000Z,2018-04-12T00:00:00.000Z
545,0,0,Closed,2010-07-09T00:00:00.000Z,2014-10-17T00:00:00.000Z,2010-07-20T00:00:00.000Z
549,0,0,Closed,2017-01-20T00:00:00.000Z,2022-05-11T00:00:00.000Z,2017-01-23T00:00:00.000Z
557,0,0,Closed,2020-08-28T00:00:00.000Z,2022-07-07T00:00:00.000Z,2020-08-28T00:00:00.000Z
560,0,0,Closed,2011-08-22T00:00:00.000Z,2016-01-20T00:00:00.000Z,2011-09-08T00:00:00.000Z
561,0,0,Closed,2012-08-06T00:00:00.000Z,2017-08-18T00:00:00.000Z,2012-08-07T00:00:00.000Z
565,0,0,Closed,2023-10-25T00:00:00.000Z,2023-10-25T00:00:00.000Z,2018-08-17T00:00:00.000Z
572,0,0,Closed,2004-04-22T00:00:00.000Z,2006-11-30T00:00:00.000Z,2002-09-14T00:00:00.000Z
573,0,0,Closed,2004-04-22T00:00:00.000Z,2003-02-01T00:00:00.000Z,2001-09-14T00:00:00.000Z
574,1,1,Closed,2015-12-28T00:00:00.000Z,2019-07-29T00:00:00.000Z,2016-01-25T00:00:00.000Z
578,0,0,Closed,2006-05-04T00:00:00.000Z,2008-11-03T00:00:00.000Z,2006-05-18T00:00:00.000Z
579,0,0,Closed,2010-09-23T00:00:00.000Z,2024-05-10T00:00:00.000Z,2010-09-24T00:00:00.000Z
582,0,0,Closed,2014-11-04T00:00:00.000Z,2018-02-06T00:00:00.000Z,2014-12-02T00:00:00.000Z
583,0,0,Closed,2009-07-24T00:00:00.000Z,2012-11-20T00:00:00.000Z,2009-07-27T00:00:00.000Z
584,0,0,Closed,2021-04-29T00:00:00.000Z,2025-01-08T00:00:00.000Z,2021-04-29T00:00:00.000Z
588,0,0,Closed,2006-01-18T00:00:00.000Z,2011-09-30T00:00:00.000Z,2006-02-23T00:00:00.000Z
590,0,0,Closed,2004-04-22T00:00:00.000Z,2003-01-03T00:00:00.000Z,2001-09-14T00:00:00.000Z
591,19,19,Closed,2005-03-03T00:00:00.000Z,2005-06-24T00:00:00.000Z,2000-11-15T00:00:00.000Z
593,8,8,Closed,2003-11-25T00:00:00.000Z,2003-12-03T00:00:00.000Z,2001-04-02T00:00:00.000Z
594,0,0,Closed,2005-07-13T00:00:00.000Z,2005-05-06T00:00:00.000Z,2004-03-15T00:00:00.000Z
595,4,4,Closed,2006-10-23T00:00:00.000Z,2006-10-26T00:00:00.000Z,2004-04-26T00:00:00.000Z
596,0,0,Closed,2006-05-11T00:00:00.000Z,2006-05-12T00:00:00.000Z,2000-10-31T00:00:00.000Z
597,0,0,Closed,2005-11-18T00:00:00.000Z,2006-05-22T00:00:00.000Z,2000-06-29T00:00:00.000Z
598,2,2,Closed,2009-06-25T00:00:00.000Z,2003-09-23T00:00:00.000Z,2001-11-26T00:00:00.000Z
599,1,1,Closed,2015-02-23T00:00:00.000Z,2015-02-25T00:00:00.000Z,2004-12-07T00:00:00.000Z
601,0,0,Closed,2009-03-23T00:00:00.000Z,2009-03-23T00:00:00.000Z,2003-02-13T00:00:00.000Z
602,0,0,Closed,2008-07-31T00:00:00.000Z,2008-02-26T00:00:00.000Z,2002-02-26T00:00:00.000Z
606,10,19,Closed,2008-02-19T00:00:00.000Z,2005-04-04T00:00:00.000Z,1999-12-07T00:00:00.000Z
