,state,county,stateNumberCode,countyCode,disasterNumber,region,programArea,programFy
195,New Mexico,Bernalillo,35,1,4529,6,HMGP,2020
196,Texas,Galveston,48,167,4705,6,HMGP,2023
197,California,Santa Barbara,6,83,4699,9,HMGP,2023
198,New Hampshire,Statewide,33,0,4026,1,HMGP,2011
199,Pennsylvania,Columbia,42,37,4030,3,HMGP,2011
200,Rhode Island,Providence,44,7,4089,1,HMGP,2013
201,Iowa,Statewide,19,0,4114,7,HMGP,2013
202,New York,Montgomery,36,57,4085,2,HMGP,2013
203,North Dakota,Cass,38,17,4118,8,HMGP,2013
204,Pennsylvania,Susquehanna,42,115,4025,3,HMGP,2011
205,New York,Wyoming,36,121,1943,2,HMGP,2011
206,Louisiana,Acadia,22,1,1792,6,HMGP,2008
207,South Dakota,Corson,46,31,4155,8,HMGP,2014
208,Massachusetts,Middlesex,25,17,4110,1,HMGP,2013
209,Arizona,Coconino,4,5,1950,9,HMGP,2011
223,Alabama,Lee,1,81,4419,4,HMGP,2019
224,Florida,Broward,12,11,4337,4,HMGP,2017
225,Alabama,Lee,1,81,4419,4,HMGP,2019
226,Alabama,Lee,1,81,4419,4,HMGP,2019
227,Minnesota,Blue Earth,27,13,4390,5,HMGP,2018
228,Alabama,Lee,1,81,4419,4,HMGP,2019
229,California,Marin,6,41,4407,9,HMGP,2019
230,Iowa,Statewide,19,0,4421,7,HMGP,2019
231,Texas,Dallas,48,113,4416,6,HMGP,2019
232,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
233,Alabama,Lee,1,81,4419,4,HMGP,2019
234,Florida,Hardee,12,49,4337,4,HMGP,2017
235,Iowa,Statewide,19,0,4421,7,HMGP,2019
236,North Carolina,Mecklenburg,37,119,4393,4,HMGP,2018
237,Minnesota,St. Louis,27,137,4414,5,HMGP,2019
238,Missouri,Clay,29,47,4451,7,HMGP,2019
239,Louisiana,Plaquemines,22,75,4458,6,HMGP,2019
240,Nebraska,Platte,31,141,4013,7,HMGP,2011
241,New Mexico,Torrance,35,57,4152,6,HMGP,2014
242,North Dakota,Cass,38,17,4154,8,HMGP,2014
243,New Mexico,Sandoval,35,43,4152,6,HMGP,2014
244,New Mexico,Sandoval,35,43,4152,6,HMGP,2014
245,North Dakota,Cass,38,17,4190,8,HMGP,2014
246,New Jersey,Cumberland,34,11,4086,2,HMGP,2013
247,Texas,Galveston,48,167,4245,6,HMGP,2016
248,Washington,Skagit,53,57,5109,10,HMGP,2015
249,Texas,Dallas,48,113,4255,6,HMGP,2016
250,Texas,Hays,48,209,4223,6,HMGP,2015
251,Massachusetts,Norfolk,25,21,4214,1,HMGP,2015
252,Georgia,Lamar,13,171,4284,4,HMGP,2017
253,Pennsylvania,Wyoming,42,131,4292,3,HMGP,2017
254,Texas,Washington,48,477,4272,6,HMGP,2016
255,South Carolina,Dorchester,45,35,4241,4,HMGP,2016
256,California,Santa Barbara,6,83,4305,9,HMGP,2017
264,Nebraska,Gage,31,67,4185,7,HMGP,2014
265,New Jersey,Middlesex,34,23,4086,2,HMGP,2013
266,Vermont,Rutland,50,21,4163,1,HMGP,2014
267,New York,Montgomery,36,57,4020,2,HMGP,2011
276,Minnesota,Blue Earth,27,13,4531,5,HMGP,2020
277,Puerto Rico,Bayamon,72,21,4339,2,HMGP,2017
278,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
279,Oregon,Josephine,41,33,4562,10,HMGP,2020
280,Florida,Gilchrist,12,41,4486,4,HMGP,2020
281,Kentucky,Statewide,21,0,4592,4,HMGP,2021
282,Texas,Jefferson,48,245,4572,6,HMGP,2021
283,Alabama,Randolph,1,111,4546,4,HMGP,2020
284,Texas,Tarrant,48,439,4586,6,HMGP,2021
285,Nevada,Elko,32,7,5154,9,HMGP,2017
286,Texas,Jefferson,48,245,4332,6,HMGP,2017
287,Vermont,Washington,50,23,4330,1,HMGP,2017
288,South Dakota,Deuel,46,39,5229,8,HMGP,2018
289,Louisiana,Terrebonne,22,109,4277,6,HMGP,2016
290,North Carolina,Onslow,37,133,4393,4,HMGP,2018
291,Florida,Broward,12,11,4337,4,HMGP,2017
302,Vermont,Rutland,50,21,4120,1,HMGP,2013
303,Georgia,Banks,13,11,4215,4,HMGP,2015
304,Arkansas,Pulaski,5,119,4270,6,HMGP,2016
305,Florida,Flagler,12,35,4283,4,HMGP,2017
306,Maryland,Calvert,24,9,4261,3,HMGP,2016
307,Florida,Clay,12,19,4337,4,HMGP,2017
308,Florida,Volusia,12,127,4337,4,HMGP,2017
309,Texas,Aransas,48,7,4332,6,HMGP,2017
310,Florida,Broward,12,11,4337,4,HMGP,2017
311,Nebraska,Frontier,31,63,4387,7,HMGP,2018
312,New Hampshire,Statewide,33,0,4355,1,HMGP,2018
313,Nebraska,York,31,185,4325,7,HMGP,2017
314,Minnesota,Dakota,27,37,4390,5,HMGP,2018
315,California,Santa Barbara,6,83,4308,9,HMGP,2017
327,Arkansas,Logan,5,83,4441,6,HMGP,2019
328,Vermont,Rutland,50,21,4445,1,HMGP,2019
329,Alabama,Lee,1,81,4419,4,HMGP,2019
330,Texas,Galveston,48,167,4332,6,HMGP,2017
331,West Virginia,Brooke,54,9,4359,3,HMGP,2018
332,Iowa,Buena Vista,19,21,4421,7,HMGP,2019
333,Nebraska,Douglas,31,55,4420,7,HMGP,2019
334,Arkansas,Craighead,5,31,4441,6,HMGP,2019
335,California,Ventura,6,111,4407,9,HMGP,2019
336,Kentucky,Owen,21,187,4361,4,HMGP,2018
337,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
338,Alabama,Lee,1,81,4419,4,HMGP,2019
339,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
340,Florida,Broward,12,11,4337,4,HMGP,2017
341,Puerto Rico,Arroyo,72,15,4339,2,HMGP,2017
342,Texas,Jefferson,48,245,4466,6,HMGP,2020
355,Maryland,Calvert,24,9,4261,3,HMGP,2016
356,Florida,Broward,12,11,4337,4,HMGP,2017
357,Texas,Jefferson,48,245,4332,6,HMGP,2017
358,Nebraska,Burt,31,21,4325,7,HMGP,2017
359,Louisiana,Avoyelles,22,9,4277,6,HMGP,2016
360,California,Nevada,6,57,4344,9,HMGP,2018
361,California,Ventura,6,111,4353,9,HMGP,2018
362,Florida,Broward,12,11,4337,4,HMGP,2017
363,California,Ventura,6,111,4344,9,HMGP,2018
364,Alabama,Lee,1,81,4419,4,HMGP,2019
365,South Carolina,Union,45,87,4394,4,HMGP,2018
366,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
367,North Carolina,Pamlico,37,137,4393,4,HMGP,2018
368,Florida,Broward,12,11,4337,4,HMGP,2017
369,Alabama,Lee,1,81,4419,4,HMGP,2019
370,Alabama,Lee,1,81,4419,4,HMGP,2019
371,Florida,Clay,12,19,4337,4,HMGP,2017
372,North Dakota,Cass,38,17,4475,8,HMGP,2020
373,Nebraska,Platte,31,141,4420,7,HMGP,2019
374,California,Siskiyou,6,93,4407,9,HMGP,2019
375,California,Nevada,6,57,4619,9,HMGP,2021
376,South Dakota,Turner,46,125,4656,8,HMGP,2022
377,Vermont,Washington,50,23,4532,1,HMGP,2020
378,California,San Luis Obispo,6,79,4683,9,HMGP,2023
379,New Mexico,Sandoval,35,43,5430,6,HMGP,2022
380,Tennessee,Maury,47,119,4637,4,HMGP,2022
381,Georgia,Chatham,13,51,4685,4,HMGP,2023
382,Alabama,Tallapoosa,1,123,4684,4,HMGP,2023
383,Georgia,Lamar,13,171,4685,4,HMGP,2023
384,Florida,Hardee,12,49,4673,4,HMGP,2022
385,Missouri,Miller,29,131,4665,7,HMGP,2022
386,Florida,Broward,12,11,4486,4,HMGP,2020
387,Puerto Rico,Bayamon,72,21,4339,2,HMGP,2017
388,New Mexico,Bernalillo,35,1,5430,6,HMGP,2022
389,Vermont,Washington,50,23,4720,1,HMGP,2023
390,Arkansas,Pulaski,5,119,4698,6,HMGP,2023
394,Alabama,Jackson,1,71,4426,4,HMGP,2019
397,Texas,Galveston,48,167,4705,6,HMGP,2023
398,Georgia,Chatham,13,51,4501,4,HMGP,2020
399,Rhode Island,Providence,44,7,4505,1,HMGP,2020
410,Alabama,Lee,1,81,4419,4,HMGP,2019
411,Texas,Galveston,48,167,4332,6,HMGP,2017
412,North Carolina,Onslow,37,133,4393,4,HMGP,2018
413,California,Mendocino,6,45,4353,9,HMGP,2018
414,California,Santa Barbara,6,83,4344,9,HMGP,2018
415,New Mexico,Statewide,35,0,5184,6,HMGP,2017
416,Arkansas,Statewide,5,0,4318,6,HMGP,2017
417,Missouri,Henry,29,83,4451,7,HMGP,2019
418,Alabama,Lee,1,81,4419,4,HMGP,2019
419,Alabama,Lee,1,81,4419,4,HMGP,2019
420,Nebraska,Douglas,31,55,4420,7,HMGP,2019
421,Texas,Jefferson,48,245,4332,6,HMGP,2017
422,Texas,Galveston,48,167,4332,6,HMGP,2017
423,Georgia,Wilcox,13,315,4400,4,HMGP,2019
424,California,Santa Clara,6,85,4308,9,HMGP,2017
425,Northern Mariana Islands,Saipan,69,110,4404,9,HMGP,2019
426,Puerto Rico,Toa Baja,72,137,4339,2,HMGP,2017
427,Texas,Hays,48,209,5420,6,HMGP,2022
428,Missouri,St. Louis,29,189,4665,7,HMGP,2022
429,Virginia,Henry,51,89,4602,3,HMGP,2021
430,Vermont,Washington,50,23,4532,1,HMGP,2020
431,Tennessee,Bledsoe,47,7,4637,4,HMGP,2022
432,Vermont,Rutland,50,21,4532,1,HMGP,2020
433,California,Santa Clara,6,85,4683,9,HMGP,2023
434,Florida,Volusia,12,127,4673,4,HMGP,2022
435,Florida,Broward,12,11,4673,4,HMGP,2022
436,Florida,Volusia,12,127,4680,4,HMGP,2023
437,Alaska,Matanuska-Susitna,2,170,4672,10,HMGP,2022
438,Alaska,Matanuska-Susitna,2,170,5473,10,HMGP,2023
439,New Mexico,Statewide,35,0,4843,6,HMGP,2025
440,Florida,Volusia,12,127,4680,4,HMGP,2023
446,North Carolina,Johnston,37,101,4285,4,HMGP,2017
447,Minnesota,Brown,27,15,4442,5,HMGP,2019
448,Illinois,Iroquois,17,75,4461,5,HMGP,2019
449,California,Siskiyou,6,93,5380,9,HMGP,2021
450,Georgia,Chatham,13,51,4579,4,HMGP,2021
451,Alabama,Lee,1,81,4419,4,HMGP,2019
466,California,Marin,6,41,4382,9,HMGP,2018
467,Vermont,Washington,50,23,4330,1,HMGP,2017
468,California,Santa Clara,6,85,4344,9,HMGP,2018
469,Alabama,Lee,1,81,4419,4,HMGP,2019
470,Kentucky,Fayette,21,67,4428,4,HMGP,2019
471,Florida,Broward,12,11,4337,4,HMGP,2017
472,Alabama,Lee,1,81,4419,4,HMGP,2019
473,Alabama,Lee,1,81,4419,4,HMGP,2019
474,California,Ventura,6,111,4353,9,HMGP,2018
475,Alabama,Lee,1,81,4419,4,HMGP,2019
476,Alabama,Lee,1,81,4419,4,HMGP,2019
477,Oklahoma,Wagoner,40,145,4438,6,HMGP,2019
478,Kentucky,Fayette,21,67,4358,4,HMGP,2018
479,Colorado,Weld,8,123,4498,8,HMGP,2020
480,Virginia,Halifax,51,83,4512,3,HMGP,2020
481,Puerto Rico,Aguas Buenas,72,7,4493,2,HMGP,2020
482,New York,Wyoming,36,121,4480,2,HMGP,2020
483,Louisiana,Terrebonne,22,109,4611,6,HMGP,2021
484,Kentucky,Statewide,21,0,4711,4,HMGP,2023
485,Louisiana,Terrebonne,22,109,4611,6,HMGP,2021
486,New Mexico,Sandoval,35,43,4652,6,HMGP,2022
487,Texas,Lubbock,48,303,4705,6,HMGP,2023
488,Florida,Hardee,12,49,4673,4,HMGP,2022
489,Texas,Tarrant,48,439,4572,6,HMGP,2021
490,Alaska,Matanuska-Susitna,2,170,5473,10,HMGP,2023
491,Texas,Hardin,48,199,4485,6,HMGP,2020
492,Oregon,Grant,41,23,4599,10,HMGP,2021
493,Texas,Hardin,48,199,4485,6,HMGP,2020
494,Vermont,Washington,50,23,4720,1,HMGP,2023
495,Florida,Volusia,12,127,4680,4,HMGP,2023
501,Texas,Galveston,48,167,4332,6,HMGP,2017
502,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
503,Oklahoma,Custer,40,39,4299,6,HMGP,2017
504,Texas,Galveston,48,167,4485,6,HMGP,2020
505,Texas,Tarrant,48,439,5420,6,HMGP,2022
506,Puerto Rico,Arroyo,72,15,4339,2,HMGP,2017
515,Kansas,Pratt,20,151,4417,7,HMGP,2019
516,Texas,Galveston,48,167,4332,6,HMGP,2017
517,Kentucky,Statewide,21,0,5158,4,HMGP,2017
518,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
519,Florida,Broward,12,11,4337,4,HMGP,2017
520,Arkansas,Statewide,5,0,4441,6,HMGP,2019
521,Montana,Fergus,30,27,4388,8,HMGP,2018
522,Florida,Clay,12,19,4337,4,HMGP,2017
523,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
524,Alabama,Lee,1,81,4419,4,HMGP,2019
525,Massachusetts,Statewide,25,0,4379,1,HMGP,2018
526,Alaska,Matanuska-Susitna,2,170,4413,10,HMGP,2019
527,Puerto Rico,Arroyo,72,15,4339,2,HMGP,2017
528,Texas,Tarrant,48,439,4223,6,HMGP,2015
529,Oregon,Josephine,41,33,5096,10,HMGP,2015
530,Texas,Karnes,48,255,4223,6,HMGP,2015
531,Maryland,St. Mary's,24,37,4261,3,HMGP,2016
532,Texas,Dallas,48,113,4223,6,HMGP,2015
533,Virginia,Accomack,51,1,4291,3,HMGP,2017
534,Texas,Karnes,48,255,4223,6,HMGP,2015
535,Georgia,Dade,13,83,4259,4,HMGP,2016
536,Kentucky,Fayette,21,67,4239,4,HMGP,2015
537,West Virginia,Brooke,54,9,4273,3,HMGP,2016
538,Florida,Flagler,12,35,4283,4,HMGP,2017
539,Texas,Tarrant,48,439,4272,6,HMGP,2016
540,Florida,Flagler,12,35,4283,4,HMGP,2017
541,Florida,DeSoto,12,27,4337,4,HMGP,2017
542,Florida,Volusia,12,127,4283,4,HMGP,2017
543,Florida,Volusia,12,127,4337,4,HMGP,2017
562,Texas,Jefferson,48,245,4332,6,HMGP,2017
563,Texas,Aransas,48,7,4332,6,HMGP,2017
564,Nevada,Elko,32,7,5154,9,HMGP,2017
565,New Hampshire,Statewide,33,0,4371,1,HMGP,2018
566,Vermont,Washington,50,23,4720,1,HMGP,2023
567,Florida,Broward,12,11,4709,4,HMGP,2023
568,Florida,Volusia,12,127,4734,4,HMGP,2023
569,Florida,Clay,12,19,4680,4,HMGP,2023
570,Florida,Volusia,12,127,4680,4,HMGP,2023
571,Florida,Broward,12,11,4709,4,HMGP,2023
572,Vermont,Rutland,50,21,1336,1,HMGP,2000
573,Vermont,Rutland,50,21,1307,1,HMGP,2000
575,Pennsylvania,Lancaster,42,71,4506,3,HMGP,2020
576,Alabama,Bibb,1,7,4596,4,HMGP,2021
577,Alabama,Tallapoosa,1,123,4554,4,HMGP,2020
589,Vermont,Washington,50,23,4720,1,HMGP,2023
590,Vermont,Rutland,50,21,1307,1,HMGP,2000
591,Virginia,Accomack,51,1,1293,3,HMGP,1999
592,Virginia,Southampton,51,175,1293,3,HMGP,1999
593,Georgia,Chatham,13,51,1271,4,HMGP,1999
594,Virginia,Arlington,51,13,1392,3,HMGP,2001
595,Kentucky,Lewis,21,135,1454,4,HMGP,2003
596,Minnesota,St. Louis,27,137,1283,5,HMGP,1999
597,Kentucky,Statewide,21,0,1310,4,HMGP,2000
598,Georgia,Chatham,13,51,1315,4,HMGP,2000
599,Northern Mariana Islands,Saipan,69,110,1447,9,HMGP,2003
600,New York,Montgomery,36,57,1486,2,HMGP,2003
601,Montana,Fergus,30,27,1350,8,HMGP,2001
602,Oklahoma,Custer,40,39,1355,6,HMGP,2001
603,Oklahoma,Ottawa,40,115,1355,6,HMGP,2001
604,Texas,Hays,48,209,1257,6,HMGP,1999
605,California,San Luis Obispo,6,79,1505,9,HMGP,2004
606,Iowa,Black Hawk,19,13,1277,7,HMGP,1999
607,Virginia,Waynesboro (city),51,820,1491,3,HMGP,2003
608,Oklahoma,Custer,40,39,1401,6,HMGP,2002
609,Texas,Hardin,48,199,1439,6,HMGP,2003
610,Northern Mariana Islands,Saipan,69,110,1447,9,HMGP,2003
611,Iowa,Dubuque,19,61,1420,7,HMGP,2002
612,Tennessee,Rutherford,47,149,1482,4,HMGP,2003
613,Florida,Clay,12,19,1545,4,HMGP,2004
614,Puerto Rico,Arroyo,72,15,4560,2,HMGP,2020
615,Minnesota,St. Louis,27,137,4531,5,HMGP,2020
616,Florida,Broward,12,11,4564,4,HMGP,2020
617,Georgia,Monroe,13,207,4579,4,HMGP,2021
618,Texas,Jefferson,48,245,4586,6,HMGP,2021
619,Massachusetts,Statewide,25,0,4496,1,HMGP,2020
620,Alabama,Bibb,1,7,4596,4,HMGP,2021
621,Montana,Custer,30,17,4508,8,HMGP,2020
622,Texas,Dallas,48,113,4586,6,HMGP,2021
623,Texas,Smith,48,423,4586,6,HMGP,2021
631,Texas,Dallas,48,113,4466,6,HMGP,2020
643,Texas,Tarrant,48,439,5233,6,HMGP,2018
644,Texas,Willacy,48,489,4454,6,HMGP,2019
645,Kentucky,Owen,21,187,4428,4,HMGP,2019
646,Alabama,Lee,1,81,4419,4,HMGP,2019
647,Kentucky,Campbell,21,37,4540,4,HMGP,2020
648,Northern Mariana Islands,Saipan,69,110,4404,9,HMGP,2019
649,Northern Mariana Islands,NORTHERN MARIANA ISLAN,69,10,4404,9,HMGP,2019
650,Missouri,Miller,29,131,4451,7,HMGP,2019
651,Oklahoma,Wagoner,40,145,4575,6,HMGP,2021
652,California,Nevada,6,57,4558,9,HMGP,2020
653,Texas,Galveston,48,167,4572,6,HMGP,2021
654,Florida,Flagler,12,35,4468,4,HMGP,2020
655,New Hampshire,Statewide,33,0,4624,1,HMGP,2022
656,Texas,Brewster,48,43,4485,6,HMGP,2020
657,Alabama,Bibb,1,7,4596,4,HMGP,2021
658,Texas,Tarrant,48,439,4572,6,HMGP,2021
659,Oregon,Klamath,41,35,5394,10,HMGP,2021
660,Alabama,Bibb,1,7,4596,4,HMGP,2021
661,Massachusetts,Middlesex,25,17,1364,1,HMGP,2001
662,Virginia,Isle of Wight,51,93,1293,3,HMGP,1999
663,Arkansas,Pulaski,5,119,1354,6,HMGP,2001
664,Minnesota,St. Louis,27,137,1283,5,HMGP,1999
665,Indiana,Wells,18,179,1418,5,HMGP,2002
666,Kentucky,Campbell,21,37,1471,4,HMGP,2003
667,Northern Mariana Islands,Saipan,69,110,1430,9,HMGP,2002
668,New York,Schenectady,36,93,1486,2,HMGP,2003
669,Alaska,Kenai Peninsula,2,122,1445,10,HMGP,2003
670,Oklahoma,Custer,40,39,1452,6,HMGP,2003
680,Alabama,Bibb,1,7,4596,4,HMGP,2021
681,Georgia,Banks,13,11,4579,4,HMGP,2021
682,Florida,Broward,12,11,4486,4,HMGP,2020
683,Alabama,Bibb,1,7,4596,4,HMGP,2021
684,Idaho,Valley,16,85,4534,10,HMGP,2020
685,Utah,Tooele,49,45,4525,8,HMGP,2020
686,Mississippi,Clarke,28,23,4470,4,HMGP,2020
687,Colorado,Routt,8,107,5378,8,HMGP,2021
688,Illinois,Bureau,17,11,4489,5,HMGP,2020
689,Texas,Chambers,48,71,4485,6,HMGP,2020
692,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
693,South Dakota,Minnehaha,46,99,4440,8,HMGP,2019
694,North Carolina,Pamlico,37,137,4393,4,HMGP,2018
695,Puerto Rico,Arroyo,72,15,4339,2,HMGP,2017
696,Puerto Rico,Arroyo,72,15,4339,2,HMGP,2017
697,North Carolina,Onslow,37,133,4393,4,HMGP,2018
698,Northern Mariana Islands,Saipan,69,110,4404,9,HMGP,2019
699,Texas,Falls,48,145,4586,6,HMGP,2021
700,North Carolina,Franklin,37,69,1292,4,HMGP,1999
701,Arkansas,Statewide,5,0,1354,6,HMGP,2001
702,Kentucky,Fayette,21,67,1414,4,HMGP,2002
703,Florida,DeSoto,12,27,1393,4,HMGP,2001
704,Illinois,Jersey,17,83,1416,5,HMGP,2002
705,Arkansas,Craighead,5,31,1354,6,HMGP,2001
706,Arkansas,Logan,5,83,1354,6,HMGP,2001
707,Wisconsin,Polk,55,95,1432,5,HMGP,2002
708,Wisconsin,Polk,55,95,1432,5,HMGP,2002
709,Arkansas,Clay,5,21,1354,6,HMGP,2001
