,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
371,171300,112096,109632,0.64,2.36,633572
372,570900,428175,513810,0.9,4.28,2444898
373,327650,261978.75,245737.5,0.75,0,0
374,4026689,3020016.75,3020016.75,0.75,4.53,18365367
375,7834790,104367,98874,0.9,1.1,10971655
376,15000,11250,11250,0.75,0,0
377,230232.25,207209.03,207209.03,0.9,1.42,353329
378,400000,320000,300000,0.75,0,0
379,4139127.83,394036.73,380443.97,0.75,1.19,5011732
381,53268,39951,39951,0.75,0,0
382,135000,108000,101250,0.75,0,0
383,33268,24951,24951,0.75,0,0
384,83506,59820.63,56103,0.67,9.25,825909
385,3000000,2309606,2250000,0.75,1.24,4867249
386,1554994,1399494.6,1399494.6,0.9,1.36,2125122
388,805820,604365,604365,0.75,0,0
389,966500,724875,724875,0.75,1.5,1450191
394,477996,324816,358497,0.75,6.52,3307160
395,764205.2,573153.9,573153.9,0.75,9.2,5289511
398,300000,285000,270000,0.9,0,0
399,50000,45000,45000,0.9,0,0
410,7280,5824,5460,0.75,1.83,13337
412,410783,314728.25,308087.25,0.75,2.02,828000
413,200078,187500,150058.5,0.75,0,0
414,302978,227233.5,227233.5,0.75,1,303000
415,117782.86,88983,86799.99,0.74,0,0
416,230618,230618,230618,1,0,0
417,24817.24,17250,18612.93,0.75,0,0
418,6640,5312,4980,0.75,0,0
419,8720,6176,6540,0.75,0,0
420,2473662,1855246.5,1855246.5,0.75,0,0
422,6526484,5035885.5,4218684.75,0.75,1.22,7700000
425,4348612.16,1522764,4348612.16,1,0,0
426,572377050,5130000,13507500,1,2.03,1950150130
428,230452.5,172839.37,172839.37,0.75,0,0
429,115500,109725,103950,0.9,1.01,164181
430,97700,59850,87930,0.9,0,1
431,30000,27000,27000,0.9,0,0
432,155765.23,250371,140188.7,0.9,1.13,323000
433,3400000,2719900,2550000,0.75,0,0
446,109245.01,102161,81933.76,0.75,1.29,175000
447,2253120,651391.03,1451391.03,0.75,5.04,4630439
449,254993,191244,191244,0.75,0,0
451,7396,5916,5547,0.75,0,0
453,536412,475712,475712,0.89,1.56,90738
456,361790.76,341025.35,271343.07,0.75,1.35,804128
457,679515,1008350.25,1008350.25,0.75,12.86,20663606
458,3923712.5,2942784.27,2942784.27,0.75,1.97,7731968
459,512409,384306.75,384306.75,0.75,2.05,1047969
460,1078187,2156374,1078187,1,1.14,1225000
461,131596.08,94250.48,94250.48,0.72,3.98,545102
464,1487000,1115250,1115250,0.75,1.87,2785258
466,76721.17,121177.75,57540.88,0.75,11.19,3055828
467,56731.5,46200,42548.63,0.75,1.08,70189
468,1924054,1443040.5,1443040.5,0.75,3.06,56134556
469,0,4679.5,0,0.75,2.43,13337
470,137639,88229,103229.25,0.75,0,0
471,141000,105750,105750,0.75,2.52,371534
472,6586,4526.25,4939.5,0.75,0,0
473,6240,4992,4680,0.75,0,0
474,3840902,2880676.5,2880676.5,0.75,1.16,4604280
475,7200,5760,5400,0.75,0,0
476,6656,5324,4992,0.75,2,13337
477,150000,112500,112500,0.75,0,0
478,0,16500,0,0.75,0,0
479,503400,458060,453060,0.9,0,0
480,279000,264550,251100,0.9,0,0
481,5000000,542855.58,514284.23,0.9,3.89,22132988
482,288457,260964.5,255964.5,0.89,1.03,315499
483,525000,498750,472500,0.9,0,0
484,49973,49973,49973,1,0,0
487,915000,480000,457500,0.5,2.24,13463
488,208946,165993.64,155625,0.74,9.99,2208414
489,144883,130394.7,130394.7,0.9,1,144883
492,115307,108549.9,103776.3,0.9,0,0
493,1060000,1007000,954000,0.9,0,0
495,2651250,1988437.5,1988437.5,0.75,1.65,4565621
501,2261609,1995384,1696206.75,0.75,1.92,109078299
503,22311.57,25463,16733.67,0.75,0,0
514,2327600,1745700,1745700,0.75,2.69,6260216
515,4465.4,3375,3349.05,0.75,0,0
519,0,397770,0,0.75,4.88,2696272
520,499000,484030,484030,1,0,0
522,249500,187125,187125,0.75,2.2,425026
523,13676.15,662602.5,10257.11,0.75,2.05,1946738
524,0,6694,0,0.75,0,0
525,103024,82354,77203,0.75,0,0
528,692714.32,879107,519535.74,0.75,0,0
531,186475,110063,139856.25,0.75,0,0
533,1510062,850000,1132546.5,0.75,1.29,2578000
535,82948,62211,62211,0.75,0,0
536,88014.01,76125,66005.23,0.75,0,0
537,939325.75,1073250,704494.31,0.75,2.38,24463311
538,71347.15,67163,53510.36,0.75,2.01,192304
540,81515.04,71531,61136.28,0.75,1.15,116596
541,354382.9,276322.5,265787.17,0.75,1.83,757077
542,100547.51,75821,75410.63,0.75,1.01,1470787
543,634704,190222.5,476028,0.75,1.09,775382
559,545128,671720.17,545128,1,2.53,1380000
561,5040000,3780000,3780000,0.75,1.53,7842536
562,289620,85687.5,217215,0.75,0,0
565,2559.12,2725,2559.12,1,0,0
572,3639,2895,2729,0.75,8.87,32275
573,38152,30652,28614,0.75,1.03,40000
574,139130,125217,98169.95,0.9,1.98,276000
575,4693669.2,194750,184500,0.9,1.25,6286722
576,7965.3,7168.77,7168.77,0.9,0,0
577,165625.02,157343.77,149062.52,0.9,0,0
581,175000,123413,123413,0.71,1,1
585,306315,306315,306315,0.9,1.62,552595
589,4525845.59,3394384.19,3394384.19,0.75,2.74,15772784
590,10143,8069,7607,0.75,0.14,1432
591,498000,388304,373500,0.75,0.7,333959
592,200000,153520,0,0.75,1.08,216745
593,559748,436977,416267,0.74,2.68,386155
594,21447,16463,16085,0.75,0,0
595,145275,103122,108955,0.75,1.67,246480
596,252900,197691,189675,0.75,1.97,553627
597,47101,35672,34633,0.74,0,0
598,46762,33269,35072,0.75,31.87,1490332
599,150215,105794,135194,0.9,2.53,281114
601,166990,132510,125243,0.75,1.01,168789
602,26801,21008,20000,0.75,0,0
604,1466126,1142093,1085354,0.75,0,0
607,11796,9128,8847,0.75,0,0
608,2000,1568,1500,0.75,0,0
609,835348,756343,619154,0.75,1.38,1528690
610,4338,3278,3904,0.9,1.6,10940
611,675863,531571,506897,0.75,3.15,1780791
612,18661,34422,13996,0.75,0,0
613,51065,40058,38299,0.75,1.48,75714
615,7891330,7102197,7102197,0.9,7.27,58489754
616,230998,207898.2,207898.2,0.9,6.46,1627357
617,56147,50532.3,50532.3,0.9,0,0
619,472409.25,415560,415560,0.88,0,0
620,7965.3,7168.77,7168.77,0.9,0,0
621,433300,324975,324975,0.75,0,0
625,1488150,1116112.5,1116112.5,0.75,1.54,2279187
626,582550,1041945.39,524295,0.9,4.83,2964166
628,110100,99090,98892.41,0.9,1.33,145956
632,272690,252948.27,204517,0.75,2.73,799437
633,1374300.83,450000,450000,0.33,1,1
636,15497177.63,3000000,3000000,0.19,1.29,19733977
644,464700,60800,57000,0.75,7.48,4086750
646,6614,5290.5,4960.5,0.75,0,0
647,5695451.05,4271588.29,5125905.95,0.9,4.17,24638375
648,72798,76437.9,72798,1,1.07,1471086
650,1661528,1051050,1246146,0.75,1.65,2756300
651,170742.91,152878.36,153668.62,0.9,0,0
652,150000,112500,112500,0.75,0,0
654,0,46854,0,0.75,4.45,305303
655,50530.78,12632.7,12632.7,1,0,0
657,7965.3,7168.77,7168.77,0.9,1,1
660,0,7007.4,7007.4,0.9,0,0
661,0,82385,0,0.35,1.07,231494
662,21495,33519,16121,0.75,0,0
663,30000,23634,22500,0.75,1,30000
664,111452,89423,83589,0.75,6.15,1482840
665,913055,718274,684746,0.75,1.56,1451161
666,16097,12947,12072,0.75,0,0
667,33950,42614,33950,1,1.24,50000
668,40112,31913,30084,0.75,45.11,1921519
669,235211,157080,176408,0.75,2.13,500625
670,19998,15911,14999,0.75,0,0
672,887709.72,821337.63,821337.63,0.93,1.98,1759794
675,1051299.98,945283.58,512184.12,0.9,1.77,1932000
676,1433335.04,1075001.04,970804.75,0.75,6.55,6550000
680,8110.2,7299.18,7299.18,0.9,0,0
681,20500,18450,18450,0.9,0,0
682,587000,528300,528300,0.9,2.37,1605607
683,7965.3,7168.77,7168.77,0.9,1,1
684,500000,170638,168678,0.9,1.48,840096
685,980000,735000,882000,0.9,1.77,7684191
686,41645.38,27744.45,31234.04,0.75,0,0
687,799218.69,562500,583112.15,0.73,1.27,954389
688,416300,374670,374670,0.9,0,0
692,132977.51,101515.5,99733.13,0.75,0,0
693,91008.01,81654.75,68256.01,0.75,0,0
697,0,130144.75,0,0.75,1.03,175000
698,21400,37223.59,21540,1,14.23,682993
700,0,116425,0,0.75,0,0
701,198893,167775,149171,0.75,0,0
702,2162000,1678194,1621500,0.75,1.09,2359083
703,0,295978,0,0.75,1.32,373951
704,40069,41498,27500,0.69,0,0
705,957643,793008,718232,0.75,1.61,1672566
706,643266,498797,482450,0.75,1.27,816948
707,40310,47736,30233,0.75,0,0
708,87436,67587,65577,0.75,1.01,59855
709,229640,179601,172230,0.75,1.01,232850
710,251694,224815,181520,0.72,0,0
711,100000,95000,90000,0.9,0,0
714,57049.84,59902.33,57049.84,1,0,0
716,8562,7425,7425,0.87,1,8250
717,88000,57600,65816,0.75,0,0
718,492000,457800,442800,0.9,0,0
719,420000,378000,378000,0.9,1.01,430271
720,1138819,1081878.05,1024937.1,0.9,2.73,3303188
726,7776.3,6998.67,6998.67,0.9,1,1
727,1250000,162021.3,154306,1,1.4,1804646
732,217500,123527.87,204635,0.94,2.54,552000
734,209388,188449.2,188449.2,0.9,7.48,1565850
739,410025,369023,369023,0.9,1.58,650354
741,417401,11665,313051,0.75,2.17,632785
742,235037,167436,176278,0.75,1,223228
743,2000,1568,1500,0.75,0,0
744,35123,47841,26342,0.75,0,0
745,0,22674,0,0.75,0,0
746,161050,126259,120788,0.75,1.08,173687
748,0,17637,0,0.75,2.88,648233
749,24411,19039,18308,0.75,1.18,28696
760,172513.09,129384.82,129384.82,0.75,1.96,338062.75
764,725000,575000,575000,0.79,1.47,1094855
767,368396.21,386801.21,368396.21,1,13.57,7482007
768,0,375000,0,0.75,3.04,8539543
769,8274,6546.6,7446.6,0.9,0,0
770,112583,84437.25,84437.25,0.75,0,0
772,17053677.75,10000000,10000000,0.59,3.99,67997505
778,134750,39616,98309,0.73,0,0
779,0,499350,0,0.75,1.76,1125000
780,10000,7956,7500,0.75,0,0
781,16015,12605,12000,0.75,0,0
782,138666,109928,65520,0.47,0,0
783,986355,856448,739767,0.75,1.42,1592244
784,322598,39045,235936,0.73,1.47,477051
785,12895,8291,7932,0.62,0,0
787,4000,3214,3000,0.75,0,0
790,225217.07,272000,225217.07,1,1,272992
799,350000,272195,262500,0.75,0,0
800,200400,225688,150300,0.75,1.46,421794
801,45760,29874,34320,0.75,1.56,71172
802,198171,186034,148628,0.75,2.69,639424
803,408141,15912,306106,0.75,1,796700
804,491187,396007,368390,0.75,5.52,2711188
805,796290,608027,597218,0.75,41.47,103675353
808,567960.5,141600,423533,0.75,2.34,1420867
809,30470,23995.13,22852.5,0.75,0,0
811,7396,5916,5547,0.75,0,0
813,0,5324,0,0.75,0,0
814,231235,191925,208111.5,0.9,7.74,2139262
815,3204100,2403075,2447611.99,0.76,1.31,4209090
816,1231184.29,756921,1231184.29,1,0,0
818,2604988.5,2364489.65,2344489.65,0.9,3.27,9129251
820,1787303.24,119641,119641,1,0,0
822,0,7168.77,0,0.9,1,1
823,107992.13,47941,107992,1,0,0
825,35000,31500,31500,0.9,0,0
826,125484,98111,94113,0.75,3.46,433598
827,12000,9407,9000,0.75,11.22,134647
828,262329,250699,196747,0.75,1.78,565120
829,2972517,2843346,2972517,1,44.39,9671695
831,609968,843398,457476,0.75,0,0
832,1480428,1110320.99,916403.52,0.75,1.52,2250500
837,37909.96,34118.96,34118.96,0.9,1.43,55161
838,151800,136620,136620,0.9,9.6,1656382
839,43625.65,56014,43625.65,1,1.62,959012
840,228469,131627,171352,0.75,0,0
841,3472,29608,3472,1,0,0
842,5094143,2896931,3820607,0.75,1.11,5679173
843,5041345.41,4562528,3781009.06,0.75,1.3,7913517
844,107721,30000,30000,0.28,0,0
845,664103,512957,498077,0.75,1.47,1167029
846,3955191,3000000,2966393,0.75,9.62,38396448
848,1625000,1218750,1218750,0.75,1.57,3041120
850,1468945.7,3000000,944120.66,0.75,3.66,15780875
860,53987.2,40490.4,40490.4,0.75,0,0
862,33497,30147.3,30147.3,0.9,0,0
864,42500,27000,27000,0.64,165.11,7052456
865,32712,31076.4,29440.8,0.9,0,0
867,1775694,182499.75,0,0.9,1.06,1886888
869,26471,23823.9,23823.9,0.9,0,0
870,200000,180000,180000,0.9,0,0
876,111316,139465,83487,0.75,5.26,585744
877,28560,26843,21420,0.75,2.62,76262
878,0,477080,0,0.75,0,0
879,146880,115239,0,0.75,1.73,254338
880,9139,5967,6854,0.75,0,0
881,312000,246645,234000,0.75,0,0
882,0,13525,12750,0.75,1.42,24061
883,93331,74256,70000,0.75,0,0
884,100924,102867,75693,0.75,2.32,234379
885,42558,27628,31918,0.75,0,0
886,5346764,4108561,4108561,0.77,1.01,5425000
887,763402,687061.8,65199.6,0.9,3.05,2422459
889,364153.16,1050263.55,327737.84,0.9,1,1
893,558954.41,443151,0,0.75,1.95,1204052
894,37716,28287,28287,0.75,48.5,1829019
896,10150455.61,900000,2040162.44,1,0,0
897,75337.5,71391.25,67803.75,0.9,0,0
898,2833947.41,147833.36,170706.81,0.9,2.01,5987170
899,65558.7,59002.83,59002.83,0.9,1,65558
901,15762463.95,6747162.61,6392067.61,0.8,1.17,11746924
902,2597046,2447341.4,2337341.4,0.9,0,0
904,1852898.46,207940,207940,1,0,0
907,1656792,1242594,1242594,0.75,3.64,6026054
908,268320.89,201240.67,201240.67,0.75,0,0
910,1386667,1040000,1040000,0.75,1,1
921,1964174.36,936104.93,950087.58,0.9,1.31,1383106
922,19800,16500,14850,0.75,0,0
923,215464,349125,161597.84,0.75,1.05,490989
924,62709,49604,47032,0.75,7.94,800597
926,31729,24676,23797,0.75,1.27,40397
927,0,91332,0,0.75,6.41,744584
935,1493200,1119900,1119900,0.75,8.02,11982839
939,1232480,913498.2,1109232,0.9,0,0
940,135600,122040,122040,0.9,12.48,1848552
942,0,364500.75,0,1,0,0
943,53053.44,47748.1,47748.1,0.9,3.38,585563
944,496059,471256.05,446453.1,0.9,2.02,1151130
946,1038922,940219.8,935029.8,0.9,2.94,3075687
949,25000,22500,22500,0.9,0,0
950,1337650,1270767.5,1203885,0.9,4.71,125019025
951,1850000,1665000,1665000,0.9,1.31,2516823
952,8361171,387930,6176398,0.74,2.57,21180638
954,5117,6654,5117,1,2.31,11837
955,639643,494988,479732,0.75,6.09,3893291
956,7000,5569,5250,0.75,0,0
957,150000,117665,150000,1,0,0
960,486945,100327.03,100327.03,1,0,0
962,326268,309954,293641,0.9,0,0
964,45781,41917,43492,0.95,1.06,57469
966,0,543812,0,0,1.13,776697
967,0,767953,0,0.75,1.42,1860454
976,1475,169227,1106.25,0.75,1.17,260624
978,0,107249.98,0,0.75,1.87,2434672
982,52160,36337,39120,0.75,4.22,223508
983,4900,5001,3675,0.75,0,0
984,878,10495,878,1,0,0
985,21564,16614,15510,0.72,0,0
987,238554,15678,178916,0.75,1.39,332651
988,1289800,392717,967350,0.75,1.12,1440621
989,11195,29475,8396,0.75,1.99,248181
990,121825,131712,91369,0.75,2.09,254353
991,2884952,4739331,2163714,0.75,1.48,4269994
996,44188,33141,33141,0.75,0,0
998,1234604.69,26078.94,26078.94,0.9,2.89,4081060
999,303219,241862.59,227414.25,0.75,1.63,515270
1000,0,27750,0,0.9,7.59,288808
1001,160970,120727,120727,0.75,3.06,42971
1003,1500000,250000,0,0.17,1.76,2746642
1018,298971,189770,224138,0.75,0,0
1019,150000,117082,150000,1,0,0
1021,65840,52382,49380,0.75,0,0
1022,3644,5107,3644,1,19.65,71613
1023,105264,81986,78948,0.75,9.62,1012411
1024,200,123109,150,0.75,0,0
1026,0,4162935,0,0.75,64.96,25605116
1027,405958,292307,304468,0.75,2.85,1157993
1028,0,29221,0,0.75,0,0
1033,0,107025,0,0.75,1.68,239524
1048,3255408,2441556,2441556,0.75,3.75,12208310
1051,60000,45000,45000,0.75,0,0
1052,1557817,1832602,1168363,0.75,1.27,3100138
1054,26000,110000,19500,0.75,0,0
1055,241994,182607,181496,0.75,1.72,474476
1056,45000,33750,33750,0.75,2.29,12049
1057,24000,18000,18000,0.75,0,0
1058,21601,18000,16201,0.75,0,0
1060,1183142,2109030,887357,0.75,1.14,3203891
1061,710747,690983,533060,0.75,1.05,1028328
1062,60000,45000,45000,0.75,0,0
1063,5495,4247,4000,0.73,1.37,21420
1064,172187,106262,0,0.75,0,0
1065,7175,4000,4000,0.56,1.37,21420
1066,6469,4283,4131,0.64,1.37,21420
1067,2437522,1828141,1828141,0.75,1.4,3387833
1069,988512.63,741384.47,741384.47,0.75,1.18,1162348
1072,2721501.96,2721501.96,2721501.96,1,1.22,3312000
1073,7000000,4999999.9,4999999.9,0.71,3.84,26896937
1075,5702.53,4763.25,4276.9,0.75,0,0
1076,1206854,740257.5,905140.5,0.75,4.79,6211616
1078,982640.44,111325.31,736980.33,0.75,1.15,1128607
1079,2468422,1851316.5,1851316.5,0.75,1.41,3545933
1080,7696,6156,5772,0.75,1.73,13337
1081,8231,6584.25,6173.25,0.75,0,0
1082,4675567.97,1829573.25,3506675.98,0.75,1.62,8044752
1083,1138910,845182.5,854182.5,0.75,4.59,1290000
1084,291740,218805,218805,0.75,1.41,390906
1085,75778,56834,0,0.75,0,0
1086,0,79251,0,0.75,0,0
1087,778904,737006,584177.54,0.75,1.4,1380000
1088,50595,38625,37947,0.75,0,0
1089,0,414000,0,0,2.2,1034872
1091,89690,66750,66750,0.74,1.13,104101
1092,371128,356250,278346,0.75,2.58,1226651
1094,102376.97,102376.97,93640.11,1,1.61,164690
1099,1355300,1016475,1016475,0.75,2.28,3084844
1100,129500,97125,97125,0.75,0,0
1101,404242,70204,404248,1,0,0
1102,356071,250950,267053,0.75,2.63,618566
1103,3081400,1800000,2311050,0.75,1.99,4943022
1105,203418,153750,152564,0.75,0,0
1106,8508,17240,8509,1,0,0
1107,185438.84,139070,139079.13,0.75,6.75,1311587
1108,297920,238936,223440,0.75,3.55,1282738
1109,72817,67213,54613,0.75,11.9,1140622
1110,262006,66936,262006,1,0,0
1111,30385,17921,17921,0.59,0,0
1113,736719,739294,552539,0.75,0,0
1114,121003.5,121003.5,113413.07,1,0,0
1116,887946.24,297710.25,495489.66,0.56,2.25,2156625
1117,33811,25358,25358,0.75,9.81,331618
1120,70152,52614,0,0.75,0,0
1121,4500,13650,0,0,1.07,233039
1122,2405500,1804125,1804125,0.75,1.05,2863220
1123,1144550,1144550,1144550,1,0,0
1124,0,288358.5,0,0,0,0
1125,724598,579678.4,543448.5,0.75,1,724598
