state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel
Kentucky,43146.7,0.0,24.0,High
Kentucky,30646.0,0.0,20.0,High
Mississippi,22518.0,0.0,11.0,High
Michigan,225000.0,1.59,98.0,Moderate
Florida,0.0,3.85,13.0,High
North Dakota,11830.97,0.0,19.0,High
Connecticut,30000.0,1.51,72.0,Moderate
Oklahoma,40000.0,1.11,42.0,High
Tennessee,10338.0,0.0,25.0,Moderate
Arkansas,479910.0,3.84,34.0,Moderate
California,69304.0,0.0,9.0,High
Colorado,42479.05,0.0,28.0,Moderate
Maryland,5175.0,0.0,-47.0,Moderate
North Carolina,34686.0,3.88,58.0,High
Alabama,0.0,0.0,4.0,High
Florida,21420.0,2.62,65.0,High
Virginia,9869.0,0.0,0.0,Moderate
Texas,1637724.47,0.0,172.0,High
Oklahoma,147890.09,13.27,44.0,High
Louisiana,3978673.81,1.16,169.0,High
Illinois,671345.92,2.05,62.0,Moderate
Oregon,158566.5,3.15,70.0,Moderate
Alaska,72270.0,1.87,27.0,Low
Kentucky,333619.0,0.0,59.0,High
Washington,500000.0,6.04,47.0,High
Florida,1856.0,5.48,16.0,High
Nebraska,54674.0,5.69,40.0,High
Alabama,41250.0,0.0,18.0,High
South Carolina,229444.0,3.14,24.0,Moderate
Ohio,207000.0,1.0,34.0,Moderate
Kansas,22791.0,0.0,43.0,High
Minnesota,975075.0,0.0,42.0,Moderate
Tennessee,1284668.0,2.39,43.0,Moderate
Alabama,73547.0,7.33,136.0,High
Illinois,67595.0,0.0,62.0,Moderate
Ohio,5250.0,0.0,56.0,Moderate
Missouri,285216.0,1.08,36.0,High
Oklahoma,6000.0,4.91,8.0,High
Virginia,213750.0,19.58,51.0,Moderate
Georgia,18658.0,0.0,41.0,High
Missouri,1399115.0,1.7,61.0,High
Kansas,267750.0,1.91,36.0,High
Montana,102383.33,0.0,31.0,Low
Texas,1495223.79,1.01,103.0,High
New Jersey,0.0,1.12,40.0,High
Iowa,22500.72,0.0,20.0,High
Alabama,15306.0,0.0,55.0,High
Washington,753947.0,0.0,110.0,High
Missouri,2537155.0,1.37,40.0,High
New Jersey,148041.0,0.0,34.0,High
South Carolina,30073.88,0.0,75.0,Moderate
Louisiana,135415.0,2.58,93.0,High
Oklahoma,16864.0,0.0,11.0,High
South Dakota,34904.0,1.21,22.0,High
Louisiana,37500.0,0.0,86.0,High
Kentucky,732569.0,1.01,23.0,High
New Jersey,436275.0,1.15,61.0,High
Iowa,3138598.0,1.26,39.0,High
South Carolina,62090.56,6.09,53.0,Moderate
Wisconsin,15342.85,0.0,54.0,Moderate
Illinois,56837.0,1.0,41.0,Moderate
Tennessee,67914.0,1.62,27.0,Moderate
Oklahoma,19960.0,0.0,31.0,High
Florida,262676.0,1.36,52.0,High
Virginia,583793.0,0.0,0.0,Moderate
Oklahoma,43638.0,0.0,35.0,High
Florida,83618.0,2.23,42.0,High
Nebraska,25380.0,3.82,29.0,High
Georgia,29186.0,0.0,20.0,High
California,321431.25,12.37,35.0,High
Alabama,15957.0,0.0,56.0,High
Oklahoma,30375.0,0.0,48.0,High
Georgia,40988.0,0.0,16.0,High
Iowa,439725.0,1.87,16.0,High
Arkansas,559924.0,7.11,34.0,Moderate
Alabama,22500.0,0.0,27.0,High
Puerto Rico,93070.0,63.18,28.0,Moderate
New York,4798713.0,1.26,112.0,High
Oklahoma,1099570.0,1.14,34.0,High
South Dakota,160458.0,1.33,21.0,High
Maryland,81750.0,3.16,22.0,Moderate
Florida,11098.0,16.9,46.0,High
Missouri,1101078.0,3.54,49.0,High
Missouri,1172070.0,3.21,25.0,High
Pennsylvania,80783.0,1.01,19.0,High
Florida,3006977.0,1.09,38.0,High
Oregon,1977995.2,6.31,87.0,Moderate
Minnesota,53256.0,0.0,72.0,Moderate
Kentucky,1495275.35,1.83,88.0,High
North Carolina,70896.71,1.53,83.0,High
Florida,45877.0,4.2,39.0,High
Connecticut,59475.0,1.51,31.0,Moderate
California,112500.0,0.0,22.0,High
New York,3355.0,0.0,51.0,High
New Hampshire,59250.0,1.21,31.0,Moderate
Virginia,180000.0,0.0,34.0,Moderate
Arkansas,22499.0,0.0,42.0,Moderate
Alabama,59918.0,4.1,117.0,High
Oklahoma,580329.0,2.53,48.0,High
New Jersey,145850.25,2.39,90.0,High
Oklahoma,202915.5,0.0,35.0,High
Florida,157312.5,2.32,36.0,High
Maryland,309613.0,1.0,52.0,Moderate
Washington,0.0,2.05,6.0,High
New Mexico,395603.76,1.08,41.0,Low
Louisiana,142236.68,2.35,70.0,High
Ohio,29872.93,11.54,36.0,Moderate
Maine,113039.0,1.21,35.0,Low
North Carolina,297949.09,2.06,33.0,High
Northern Mariana Islands,36900.0,3.34,84.0,Low
Oregon,92655.0,2.23,78.0,Moderate
Michigan,226687.0,1.05,75.0,Moderate
Ohio,18750.0,0.0,32.0,Moderate
South Carolina,279585.0,0.0,101.0,Moderate
Kansas,232796.0,1.04,47.0,High
Alabama,13051.0,1.37,95.0,High
Texas,167281.0,0.0,123.0,High
Kansas,3626.0,1.42,27.0,High
Oklahoma,19688.0,0.0,56.0,High
Michigan,261750.0,1.0,71.0,Moderate
Louisiana,248925.0,5.06,36.0,High
Florida,615971.79,1.16,108.0,High
California,158468.3,0.0,51.0,High
New York,2038.0,0.0,82.0,High
Georgia,1168363.0,1.27,42.0,High
North Dakota,41521.0,0.0,45.0,High
Ohio,171350.89,1.0,48.0,Moderate
Montana,24600.0,0.0,81.0,Low
Wisconsin,552221.0,1.17,66.0,Moderate
Alaska,1929.0,0.0,32.0,Low
New Jersey,75000.0,1.77,102.0,High
New Jersey,39489.75,0.0,40.0,High
Florida,564968.0,2.22,47.0,High
Mississippi,195553.0,2.82,32.0,High
Oregon,102143.0,3.26,65.0,Moderate
New York,56431.0,0.0,77.0,High
Alabama,57257.71,5.37,112.0,High
Iowa,262006.0,0.0,77.0,High
Florida,6539.0,97.65,21.0,High
Alabama,23850.0,1.37,86.0,High
Texas,5697.0,0.0,104.0,High
Virginia,24067.0,0.0,0.0,Moderate
Montana,7291.28,0.0,39.0,Low
Florida,838053.75,9.25,25.0,High
Texas,6513.95,0.0,147.0,High
Louisiana,1258111.83,2.5,100.0,High
Idaho,0.0,0.0,1.0,Low
Alabama,135000.0,2.51,40.0,High
Nebraska,6747.39,0.0,54.0,High
Maryland,20000.0,0.0,-2.0,Moderate
Iowa,25133.0,1.67,54.0,High
Florida,201669.0,1.61,37.0,High
Florida,2665653.0,1.29,52.0,High
Kentucky,58526.0,9.7,28.0,High
Missouri,23421.82,0.0,16.0,High
South Carolina,51223.11,0.0,41.0,Moderate
South Carolina,366948.0,2.37,65.0,Moderate
Maine,5548.0,1.49,35.0,Low
New Jersey,149503.97,1.02,32.0,High
New Hampshire,84903.0,1.01,79.0,Moderate
Alabama,318604.95,3.86,96.0,High
California,149943.0,0.0,25.0,High
Florida,112208.0,2.59,46.0,High
Minnesota,56001.0,0.0,48.0,Moderate
Tennessee,6207.0,0.0,38.0,Moderate
Pennsylvania,564982.0,1.86,27.0,High
Alabama,1135597.0,3.3,26.0,High
Alabama,10687.0,0.0,9.0,High
Arkansas,502341.82,5.85,61.0,Moderate
Montana,34452.0,5.01,44.0,Low
New Jersey,176500.0,2.35,26.0,High
South Dakota,2809.0,0.0,12.0,High
North Carolina,44070.63,2.48,73.0,High
South Carolina,163487.0,3.26,43.0,Moderate
Oregon,62850.0,5.06,59.0,Moderate
Kentucky,491076.0,0.0,20.0,High
Oklahoma,9000.0,0.0,22.0,High
South Dakota,48134.0,0.0,20.0,High
South Dakota,12338.0,0.0,13.0,High
Florida,116384.0,1.5,33.0,High
North Carolina,1654185.0,4.47,56.0,High
Kentucky,106365.0,1.02,36.0,High
Indiana,1083923.0,0.0,89.0,Low
Alabama,3375.0,1.37,7.0,High
Texas,0.0,1.62,23.0,High
Florida,51522.64,4.43,31.0,High
Tennessee,398842.0,1.48,33.0,Moderate
South Carolina,355875.0,2.93,32.0,Moderate
Mississippi,126054.0,0.0,27.0,High
Northern Mariana Islands,630000.0,1.15,91.0,Low
Minnesota,17285.0,0.0,39.0,Moderate
Alabama,231864.0,4.64,21.0,High
Florida,43500.0,7.41,60.0,High
Minnesota,74673.0,0.0,86.0,Moderate
Iowa,338441.0,0.0,49.0,High
Ohio,605023.0,0.0,51.0,Moderate
Michigan,64800.0,1.4,41.0,Moderate
New Mexico,37052.85,0.0,62.0,Low
New Hampshire,18000.0,0.0,32.0,Moderate
Mississippi,53021.0,0.0,26.0,High
South Dakota,69975.0,0.0,37.0,High
Iowa,30334.0,0.0,38.0,High
New Hampshire,202337.0,1.35,78.0,Moderate
Wyoming,3340.52,0.0,37.0,Low
Alabama,26168.0,1.37,95.0,High
Arkansas,34141.0,0.0,92.0,Moderate
Rhode Island,13113.0,1.71,68.0,Low
Montana,50714.0,1.02,25.0,Low
West Virginia,127710.0,4.74,0.0,Moderate
Texas,348143.0,5.35,59.0,High
Alabama,64847.0,1.37,91.0,High
Missouri,1206000.0,3.53,37.0,High
Ohio,158189.0,0.0,70.0,Moderate
Virginia,59156.0,1.0,0.0,Moderate
North Dakota,123165.0,1.06,27.0,High
Alabama,577000.0,4.46,109.0,High
Louisiana,659531.0,1.14,127.0,High
Texas,3244480.69,2.21,60.0,High
Colorado,96459.0,5.66,42.0,Moderate
North Carolina,1372183.72,1.03,40.0,High
Minnesota,114700.0,1.16,73.0,Moderate
Connecticut,138864.0,0.0,48.0,Moderate
Alabama,216318.0,1.5,113.0,High
Alabama,7425.0,1.0,30.0,High
Georgia,14479.0,0.0,25.0,High
Arizona,15995.0,1.38,15.0,Low
Louisiana,20214.0,1.35,88.0,High
Texas,2522711.48,1.4,41.0,High
New York,32000.0,0.0,114.0,High
Texas,35941.5,0.0,33.0,High
Oregon,48746.0,1.2,46.0,Moderate
Montana,11976.0,0.0,24.0,Low
Louisiana,3930681.35,1.47,158.0,High
Missouri,585673.0,2.26,59.0,High
Kentucky,231072.27,3.02,44.0,High
Texas,34500.0,0.0,155.0,High
Nevada,206338.0,1.0,49.0,Low
New York,307800.0,1.4,1.0,High
Washington,4275.0,0.0,54.0,High
Oklahoma,22500.0,0.0,46.0,High
Iowa,46500.0,0.0,59.0,High
Vermont,26249.65,4.54,0.0,Moderate
California,142442.5,0.0,54.0,High
Alabama,44133.75,4.46,123.0,High
Missouri,38307.0,0.0,45.0,High
Kansas,478125.0,2.77,8.0,High
Alabama,74362.0,1.37,83.0,High
Nebraska,23859.58,0.0,55.0,High
Oklahoma,39975.0,0.0,29.0,High
Pennsylvania,730769.0,0.0,66.0,High
Indiana,60250.0,0.0,62.0,Low
North Carolina,18899.0,0.0,13.0,High
Missouri,550935.0,2.56,28.0,High
New Jersey,3346124.69,12.62,56.0,High
Pennsylvania,0.0,1.45,47.0,High
Kansas,579797.0,3.48,25.0,High
Maryland,63132.0,0.0,37.0,Moderate
Missouri,154691.88,1.98,22.0,High
Alabama,4000.0,1.85,46.0,High
Oklahoma,318263.0,4.45,66.0,High
Alabama,1691.0,0.0,14.0,High
Wisconsin,27000.0,0.0,49.0,Moderate
Virginia,45833.0,0.0,30.0,Moderate
Mississippi,49410.0,0.0,18.0,High
Washington,193133.0,0.0,72.0,High
Texas,409527.75,0.0,66.0,High
Michigan,0.0,2.76,26.0,Moderate
West Virginia,13426.34,0.0,0.0,Moderate
Maine,99909.0,1.17,29.0,Low
Oklahoma,30000.0,0.0,13.0,High
Iowa,3750.0,0.0,25.0,High
Texas,53049.0,0.0,146.0,High
Louisiana,50000.0,0.0,48.0,High
Alabama,489176.0,0.0,35.0,High
Florida,156461.19,1.43,52.0,High
Missouri,16125.0,0.0,13.0,High
New Hampshire,7500.0,0.0,26.0,Moderate
Michigan,40875.0,0.0,76.0,Moderate
Louisiana,3961814.53,1.42,160.0,High
New Jersey,40900.0,1.0,98.0,High
Kansas,303675.0,2.85,38.0,High
Alabama,12386.0,1.37,39.0,High
Kansas,110313.24,1.95,14.0,High
North Carolina,745550.0,3.82,49.0,High
Alabama,5760.0,1.83,9.0,High
Maryland,58541.0,0.0,13.0,Moderate
Louisiana,1860319.0,1.07,86.0,High
Indiana,18720.0,0.0,58.0,Low
Illinois,14000.0,0.0,58.0,Moderate
Arkansas,8509.0,0.0,61.0,Moderate
Alabama,23375.0,7.78,75.0,High
Florida,233453.07,2.71,69.0,High
North Carolina,1375578.0,0.0,57.0,High
Florida,103305.0,2.39,42.0,High
South Dakota,78201.56,0.0,39.0,High
Florida,124943.63,1.92,54.0,High
Florida,6943.0,10.76,12.0,High
North Carolina,11957931.0,0.0,82.0,High
Oregon,84066.08,1.5,40.0,Moderate
Texas,29999.0,0.0,53.0,High
Virginia,50000.0,0.0,85.0,Moderate
Florida,58832.0,1.61,46.0,High
Florida,23479.0,2.18,16.0,High
Colorado,600646.83,48.88,42.0,Moderate
Iowa,44704.0,0.0,50.0,High
Florida,77842.09,1.57,40.0,High
Texas,34259.0,0.0,28.0,High
Virginia,30555.0,0.0,-1.0,Moderate
Connecticut,244591.0,1.13,34.0,Moderate
South Carolina,8843.0,0.0,39.0,Moderate
Florida,9319.0,2.04,40.0,High
Utah,12468.0,1.23,31.0,Low
Wyoming,2764684.31,2.03,57.0,Low
Maryland,280029.0,1.01,25.0,Moderate
South Carolina,1500000.0,1.0,44.0,Moderate
Oklahoma,22500.0,0.0,38.0,High
Georgia,2625750.0,2.43,48.0,High
Massachusetts,120837.88,0.0,54.0,Moderate
Arkansas,26250.0,0.0,47.0,Moderate
Florida,160491.0,4.72,47.0,High
Florida,199369.0,2.24,30.0,High
Vermont,2816.0,1.52,17.0,Moderate
Puerto Rico,1192147.0,8.48,62.0,Moderate
Texas,33220788.0,9.64,99.0,High
Alabama,50419.0,0.0,25.0,High
Louisiana,75727.0,1.15,93.0,High
Tennessee,391314.0,3.32,46.0,Moderate
Florida,24195.19,1.82,50.0,High
Florida,282273.0,10.42,48.0,High
Texas,37500.0,0.0,106.0,High
Alabama,80149.91,11.22,90.0,High
Connecticut,152129.0,0.0,38.0,Moderate
Oklahoma,915540.62,9.18,59.0,High
Kentucky,66767.0,0.0,23.0,High
Maine,61340.0,1.04,30.0,Low
Alabama,65494.0,13.17,18.0,High
Florida,658038.0,12.35,41.0,High
Connecticut,122905.0,0.0,52.0,Moderate
Arkansas,98026.73,8.45,36.0,Moderate
Mississippi,134625.0,0.0,23.0,High
Oklahoma,28000.0,0.0,69.0,High
New Jersey,0.0,0.0,98.0,High
Oklahoma,69000.0,0.0,41.0,High
Iowa,17175.0,0.0,8.0,High
Washington,72884.0,0.0,56.0,High
Nevada,155105.0,0.0,72.0,Low
Maine,75789.9,1.84,0.0,Low
Kansas,621982.0,12.66,32.0,High
Washington,17163.0,0.0,54.0,High
Ohio,2262.0,0.0,38.0,Moderate
Mississippi,409491.0,0.0,80.0,High
Vermont,66750.0,1.13,100.0,Moderate
North Carolina,163011.0,1.54,70.0,High
New Jersey,100000.0,0.0,79.0,High
Missouri,141140.58,1.64,34.0,High
Iowa,1078031.0,1.4,42.0,High
Northern Mariana Islands,0.0,29.75,9.0,Low
Ohio,50779.0,0.0,58.0,Moderate
Alabama,14164.0,1.37,95.0,High
North Carolina,65837.0,0.0,41.0,High
Alabama,499020.0,0.0,55.0,High
Oregon,207619.89,0.0,29.0,Moderate
Vermont,780.0,1.0,-19.0,Moderate
Florida,1418597.44,1.18,78.0,High
Nebraska,77250.0,0.0,44.0,High
New Jersey,10000000.0,1.09,42.0,High
Pennsylvania,338874.94,2.64,49.0,High
Oklahoma,30000.0,0.0,30.0,High
West Virginia,896541.0,0.0,47.0,Moderate
Virginia,31190.62,6.64,46.0,Moderate
North Dakota,358875.0,2.73,33.0,High
Oklahoma,42468.0,0.0,49.0,High
Florida,8254320.0,1.59,56.0,High
Kansas,181791.0,1.05,44.0,High
Kentucky,26137.0,0.0,14.0,High
Florida,132277.0,4.16,34.0,High
Oregon,0.0,1.2,9.0,Moderate
California,49926.0,0.0,34.0,High
West Virginia,454719.0,0.0,35.0,Moderate
Virginia,31395.0,0.0,13.0,Moderate
Washington,90993.0,1.26,93.0,High
Texas,1580963.85,1.17,70.0,High
Connecticut,41283.0,0.0,29.0,Moderate
Alaska,1822204.5,1.87,105.0,Low
Florida,51256.0,7.14,31.0,High
Nebraska,32041.0,0.0,29.0,High
New Jersey,172891.0,3.52,53.0,High
New York,218714.0,1.2,50.0,High
Kentucky,70854.0,0.0,64.0,High
Michigan,235936.0,1.47,46.0,Moderate
Alabama,69857.4,9.57,113.0,High
Louisiana,527912.0,1.05,109.0,High
Texas,832571.44,1.0,103.0,High
California,1521903.0,1.03,62.0,High
Texas,1.0,0.0,67.0,High
Michigan,82500.0,2.14,64.0,Moderate
Missouri,769418.0,0.91,128.0,High
Texas,324000.0,0.0,53.0,High
Massachusetts,35565.0,1.1,56.0,Moderate
Wisconsin,619442.01,1.11,59.0,Moderate
Wisconsin,48771.0,1.12,50.0,Moderate
New York,19347.0,0.0,100.0,High
South Carolina,204968.0,1.0,18.0,Moderate
California,3000000.0,6.09,80.0,High
Ohio,391444.0,10.06,53.0,Moderate
Arizona,532444.0,2.07,38.0,Low
North Carolina,24000.0,0.0,38.0,High
New Jersey,123607.0,0.0,48.0,High
Connecticut,48750.0,0.0,42.0,Moderate
Wisconsin,8204.0,0.0,60.0,Moderate
Michigan,19665.0,0.0,20.0,Moderate
Texas,171351.75,7.99,52.0,High
Connecticut,89977.0,0.0,96.0,Moderate
Alabama,23970.0,0.0,39.0,High
New Jersey,74245.0,0.0,111.0,High
Nebraska,132165.0,0.0,26.0,High
Florida,384306.75,2.05,38.0,High
Florida,198070.51,4.47,40.0,High
Massachusetts,370356.0,1.28,48.0,Moderate
Oklahoma,14835.0,0.0,24.0,High
Florida,413786.0,3.4,40.0,High
Florida,1639364.59,1.95,72.0,High
North Carolina,337.5,3.0,47.0,High
Florida,0.0,1.19,27.0,High
New York,59271.0,0.0,33.0,High
Nebraska,1226716.0,1.12,44.0,High
Nebraska,15677.0,0.0,28.0,High
Ohio,103345.99,1.62,35.0,Moderate
Kentucky,252793.51,4.17,93.0,High
Washington,704967.0,1.27,67.0,High
New Jersey,0.0,1.13,29.0,High
Maryland,127451.0,0.0,46.0,Moderate
California,20234.0,0.0,17.0,High
Georgia,46658.0,0.0,11.0,High
Minnesota,92966.0,0.0,71.0,Moderate
North Carolina,1076840.71,1.35,116.0,High
New Jersey,100000.0,38.54,72.0,High
West Virginia,300339.0,0.0,58.0,Moderate
Alabama,32658.75,0.0,115.0,High
Oklahoma,23159.86,0.0,47.0,High
Delaware,1053.0,0.0,19.0,Low
Nebraska,7500.0,0.0,31.0,High
Florida,14843.0,9.51,20.0,High
Oklahoma,1500.0,0.0,75.0,High
Georgia,24146.0,0.0,28.0,High
Ohio,219667.0,0.0,38.0,Moderate
South Carolina,175534.91,1.0,60.0,Moderate
Puerto Rico,33750.0,0.0,48.0,Moderate
Kansas,17757.0,0.0,42.0,High
Iowa,338212.45,0.0,23.0,High
New Jersey,0.0,0.0,31.0,High
Illinois,52500.0,0.0,37.0,Moderate
Alaska,18750.0,0.0,34.0,Low
Oklahoma,27253.0,0.0,45.0,High
Mississippi,29087.0,0.0,16.0,High
Texas,1481250.0,7.7,120.0,High
Kentucky,15202.0,0.0,41.0,High
Vermont,1970475.0,2.54,29.0,Moderate
South Carolina,66000.0,1.02,24.0,Moderate
Iowa,1128822.0,2.72,41.0,High
Alabama,130102.5,7.17,117.0,High
New York,0.0,2.49,69.0,High
Wisconsin,107511.5,3.75,38.0,Moderate
Iowa,170773.0,1.02,63.0,High
New York,38100.0,1.16,89.0,High
California,114386.0,0.0,35.0,High
Virginia,353112.0,0.0,22.0,Moderate
Iowa,1641847.0,1.12,40.0,High
Minnesota,124141.0,0.0,27.0,Moderate
Oklahoma,4949.0,0.0,52.0,High
North Carolina,22500.0,0.0,57.0,High
Mississippi,29249.0,0.0,48.0,High
Georgia,21454.0,0.0,48.0,High
Kansas,37500.0,0.0,17.0,High
Oklahoma,1008.0,0.0,72.0,High
Mississippi,155601.0,1.0,39.0,High
Tennessee,1061602.0,45.55,43.0,Moderate
Louisiana,43200.0,0.0,128.0,High
Alabama,7000.0,9.01,16.0,High
Texas,75000.0,24.75,28.0,High
Vermont,204311.07,0.0,112.0,Moderate
South Dakota,365305.0,0.0,47.0,High
Florida,4493.0,7.72,39.0,High
Pennsylvania,57206.0,0.0,41.0,High
Florida,45882.0,2.01,40.0,High
Pennsylvania,256345.0,0.0,66.0,High
Oklahoma,27810.0,0.0,38.0,High
Iowa,66571.0,0.0,81.0,High
Alabama,48038.0,3.83,72.0,High
Florida,952942.0,0.0,97.0,High
California,0.0,0.0,27.0,High
New Jersey,100000.0,0.0,35.0,High
Louisiana,0.0,15.09,94.0,High
Texas,227969.22,0.0,93.0,High
Virginia,407324.64,1.6,45.0,Moderate
Washington,3500061.0,2.61,47.0,High
Alabama,76244.0,1.23,63.0,High
Tennessee,819728.0,1.78,53.0,Moderate
Florida,128995.12,0.0,54.0,High
North Dakota,200111.0,1.09,25.0,High
West Virginia,718950.0,1.0,0.0,Moderate
New Hampshire,9147.0,1.07,10.0,Moderate
Oklahoma,17921.0,0.0,20.0,High
Kentucky,38435.0,0.0,24.0,High
Texas,405000.0,0.0,114.0,High
Wisconsin,1012941.0,0.0,74.0,Moderate
Massachusetts,25770.0,0.0,68.0,Moderate
Alabama,128699.0,0.0,130.0,High
Nebraska,45000.0,0.0,35.0,High
California,57540.88,11.19,26.0,High
New Jersey,469759.0,1.23,18.0,High
Utah,507500.0,1.0,62.0,Low
Oklahoma,6000.0,0.0,100.0,High
Montana,7550.0,1.0,20.0,Low
Northern Mariana Islands,4318.0,6.33,66.0,Low
Alabama,0.0,0.0,6.0,High
Guam,290700.0,1.82,110.0,Low
Oklahoma,105469.0,3.57,68.0,High
Kentucky,96762.0,8.4,24.0,High
Missouri,1302076.0,3.57,29.0,High
Louisiana,56450.0,27.82,89.0,High
Oklahoma,149225.15,8.85,63.0,High
Vermont,12176.23,0.0,67.0,Moderate
Louisiana,864841.0,5.23,138.0,High
New Jersey,100000.0,0.0,101.0,High
South Carolina,326479.5,10.08,33.0,Moderate
North Carolina,190830.6,1.95,69.0,High
Pennsylvania,377827.0,0.0,0.0,High
Mississippi,45720.0,1189.22,21.0,High
Mississippi,208088.0,0.0,39.0,High
Illinois,46211.0,0.0,48.0,Moderate
Mississippi,415005.0,0.0,10.0,High
Virginia,527946.0,1.02,0.0,Moderate
Oregon,27464.0,0.0,64.0,Moderate
Texas,116250.0,1.33,57.0,High
Michigan,181732.0,0.0,108.0,Moderate
Iowa,1314967.0,0.0,46.0,High
Alabama,13650.0,1.37,94.0,High
Arizona,10042.0,0.0,48.0,Low
Alaska,257271.0,2.32,34.0,Low
Mississippi,42744.0,4.68,37.0,High
Virginia,130007.0,0.0,25.0,Moderate
Louisiana,3030672.32,1.56,150.0,High
Oklahoma,37500.0,0.0,52.0,High
Alabama,65895.0,1.37,96.0,High
Missouri,272918.0,2.23,131.0,High
Alabama,42376.0,1.37,91.0,High
Alabama,36000.0,1.37,96.0,High
Maryland,67500.0,1.0,0.0,Moderate
Minnesota,156109.0,1.18,48.0,Moderate
Arizona,15355.0,0.0,38.0,Low
Washington,3450930.9,9.12,66.0,High
Tennessee,167462.0,17.01,85.0,Moderate
Kansas,1093764.0,1.06,38.0,High
Louisiana,927660.0,1.0,86.0,High
