state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel
New Hampshire,204183.0,1.6,35.0,Moderate
Pennsylvania,342059.0,0.0,33.0,High
New York,2853098.97,1.06,115.0,High
North Dakota,2336.0,1.47,14.0,High
Pennsylvania,67502.0,1.25,33.0,High
New York,51938.0,2.02,26.0,High
Louisiana,567931.7,1.66,121.0,High
South Dakota,61934.0,1.68,7.0,High
Massachusetts,212475.0,1.24,35.0,Moderate
Arizona,4776.0,0.0,10.0,Low
New York,122663.62,2.21,76.0,High
Alabama,5760.0,1.83,9.0,High
Alabama,4980.0,2.14,8.0,High
Alabama,5760.0,1.83,9.0,High
Minnesota,215155.06,0.0,38.0,Moderate
California,150000.0,0.0,33.0,High
South Dakota,0.0,0.0,9.0,High
Alabama,4680.0,0.0,13.0,High
Minnesota,258297.94,0.0,39.0,Moderate
Nebraska,4125.0,0.0,24.0,High
New Mexico,21446.45,0.0,72.0,Low
North Dakota,133767.0,1.33,17.0,High
New Mexico,1119369.0,1.66,61.0,Low
New Jersey,1250000.0,1.44,66.0,High
Washington,88086.0,8.22,42.0,High
Texas,91366.2,1.31,67.0,High
Texas,60000.0,0.0,44.0,High
Massachusetts,383257.5,1.67,38.0,Moderate
Georgia,25500.0,0.0,65.0,High
Pennsylvania,531981.78,1.0,33.0,High
Texas,213750.0,1.14,39.0,High
California,936779.46,1.24,62.0,High
Missouri,372924.61,1.82,19.0,High
Missouri,143387.0,2.86,9.0,High
Nebraska,55931.0,0.0,10.0,High
New Jersey,575020.0,1.97,44.0,High
Vermont,28570.8,0.0,73.0,Moderate
New York,317367.0,0.0,28.0,High
Virgin Islands of the U.S.,2381856.59,12.65,120.0,Low
New Mexico,1405805.17,4.46,44.0,Low
Vermont,12176.23,0.0,67.0,Moderate
South Dakota,97712.25,1.15,28.0,High
Florida,60622.5,6.42,56.0,High
Vermont,4670.62,0.0,74.0,Moderate
Georgia,29429.25,0.0,41.0,High
Arkansas,42960.0,6.5,15.0,Moderate
Florida,137769.0,1.98,47.0,High
Florida,259352.29,1.37,57.0,High
New Hampshire,955.02,0.0,51.0,Moderate
Nebraska,433835.99,32.83,31.0,High
Texas,26101339.99,1.06,116.0,High
Arkansas,12456.54,0.0,39.0,Moderate
Vermont,146731.4,0.0,38.0,Moderate
Arkansas,98026.73,8.45,36.0,Moderate
South Dakota,0.0,0.0,42.0,High
Oklahoma,915540.62,9.18,59.0,High
Maryland,353059.76,3.04,72.0,Moderate
California,55902.74,1.76,14.0,High
South Carolina,0.0,0.0,41.0,Moderate
Alabama,4992.0,0.0,14.0,High
Alabama,4980.0,0.0,12.0,High
Alabama,5460.0,1.83,14.0,High
California,150058.5,0.0,24.0,High
California,227233.5,1.0,29.0,High
New Mexico,86799.99,0.0,45.0,Low
Missouri,18612.93,0.0,18.0,High
Alabama,4980.0,0.0,9.0,High
Alabama,6540.0,0.0,9.0,High
Vermont,140188.7,1.13,19.0,Moderate
North Carolina,81933.76,1.29,66.0,High
Alabama,5547.0,0.0,33.0,High
Texas,475712.0,1.56,0.0,High
Florida,271343.07,1.35,46.0,High
California,1008350.25,12.86,154.0,High
Texas,2942784.27,1.97,60.0,High
Florida,384306.75,2.05,38.0,High
North Carolina,1078187.0,1.14,34.0,High
Arizona,94250.48,3.98,28.0,Low
New York,1115250.0,1.87,76.0,High
California,57540.88,11.19,26.0,High
Vermont,42548.63,1.08,41.0,Moderate
Florida,105750.0,2.52,39.0,High
Alabama,4939.5,0.0,13.0,High
Alabama,4680.0,0.0,37.0,High
Alabama,5400.0,0.0,28.0,High
Alabama,4992.0,2.0,14.0,High
Oklahoma,112500.0,0.0,36.0,High
Oklahoma,16733.67,0.0,40.0,High
Massachusetts,1745700.0,2.69,0.0,Moderate
Kansas,3349.05,0.0,31.0,High
Texas,519535.74,0.0,70.0,High
Georgia,62211.0,0.0,67.0,High
Kentucky,66005.23,0.0,54.0,High
West Virginia,704494.31,2.38,54.0,Moderate
Florida,53510.36,2.01,59.0,High
Florida,61136.28,1.15,58.0,High
Florida,265787.17,1.83,36.0,High
Florida,75410.63,1.01,42.0,High
Florida,3780000.0,1.53,61.0,High
New Hampshire,2559.12,0.0,63.0,Moderate
Vermont,2729.0,8.87,51.0,Moderate
Vermont,28614.0,1.03,17.0,Moderate
Arkansas,98169.95,1.98,43.0,Moderate
Vermont,7607.0,0.14,16.0,Moderate
Virginia,373500.0,0.7,56.0,Moderate
Georgia,416267.0,2.68,32.0,High
Virginia,16085.0,0.0,14.0,Moderate
Kentucky,108955.0,1.67,30.0,High
Minnesota,189675.0,1.97,67.0,Moderate
Kentucky,34633.0,0.0,72.0,High
Georgia,35072.0,31.87,22.0,High
Northern Mariana Islands,135194.0,2.53,124.0,Low
Montana,125243.0,1.01,74.0,Low
Oklahoma,20000.0,0.0,73.0,High
Virginia,8847.0,0.0,0.0,Moderate
Oklahoma,1500.0,0.0,55.0,High
Texas,619154.0,1.38,37.0,High
Northern Mariana Islands,3904.0,1.6,104.0,Low
Iowa,506897.0,3.15,25.0,High
Tennessee,13996.0,0.0,35.0,Moderate
Florida,38299.0,1.48,39.0,High
Tennessee,1116112.5,1.54,34.0,Moderate
Wisconsin,524295.0,4.83,41.0,Moderate
Wisconsin,98892.41,1.33,38.0,Moderate
Wisconsin,204517.0,2.73,45.0,Moderate
Alabama,4960.5,0.0,7.0,High
Missouri,1246146.0,1.65,38.0,High
Oklahoma,153668.62,0.0,32.0,High
Florida,0.0,4.45,7.0,High
Virginia,16121.0,0.0,-15.0,Moderate
Arkansas,22500.0,1.0,61.0,Moderate
Minnesota,83589.0,6.15,75.0,Moderate
Indiana,684746.0,1.56,85.0,Low
Kentucky,12072.0,0.0,36.0,High
Northern Mariana Islands,33950.0,1.24,114.0,Low
New York,30084.0,45.11,106.0,High
Alaska,176408.0,2.13,49.0,Low
Oklahoma,14999.0,0.0,41.0,High
Missouri,512184.12,1.77,29.0,High
Oklahoma,970804.75,6.55,68.0,High
South Dakota,99733.13,0.0,47.0,High
South Dakota,68256.01,0.0,47.0,High
Northern Mariana Islands,21540.0,14.23,28.0,Low
Arkansas,149171.0,0.0,169.0,Moderate
Kentucky,1621500.0,1.09,66.0,High
Illinois,27500.0,0.0,37.0,Moderate
Arkansas,718232.0,1.61,47.0,Moderate
Arkansas,482450.0,1.27,39.0,Moderate
Wisconsin,30233.0,0.0,45.0,Moderate
Wisconsin,65577.0,1.01,51.0,Moderate
Arkansas,172230.0,1.01,55.0,Moderate
Kentucky,181520.0,0.0,89.0,High
Alabama,7425.0,1.0,30.0,High
Nebraska,204635.0,2.54,60.0,High
Louisiana,188449.2,7.48,53.0,High
Florida,369023.0,1.58,44.0,High
New York,313051.0,2.17,113.0,High
Arkansas,176278.0,1.0,110.0,Moderate
Oklahoma,1500.0,0.0,55.0,High
California,26342.0,0.0,21.0,High
Virginia,120788.0,1.08,-12.0,Moderate
Florida,18308.0,1.18,38.0,High
Virgin Islands of the U.S.,129384.82,1.96,37.0,Low
Kentucky,98309.0,0.0,105.0,High
Federated States of Micronesia,0.0,1.76,128.0,Low
North Carolina,7500.0,0.0,23.0,High
Michigan,12000.0,0.0,87.0,Moderate
California,65520.0,0.0,20.0,High
Arkansas,739767.0,1.42,47.0,Moderate
Michigan,235936.0,1.47,46.0,Moderate
Oklahoma,7932.0,0.0,71.0,High
Oklahoma,3000.0,0.0,68.0,High
Florida,225217.07,1.0,40.0,High
Virginia,262500.0,0.0,0.0,Moderate
Pennsylvania,150300.0,1.46,97.0,High
Alabama,34320.0,1.56,16.0,High
North Carolina,148628.0,2.69,46.0,High
Alaska,306106.0,1.0,47.0,Low
Florida,368390.0,5.52,32.0,High
California,597218.0,41.47,71.0,High
Alabama,5547.0,0.0,5.0,High
Florida,94113.0,3.46,31.0,High
Florida,9000.0,11.22,15.0,High
Pennsylvania,196747.0,1.78,84.0,High
Mississippi,2972517.0,44.39,68.0,High
Iowa,457476.0,0.0,72.0,High
Arkansas,916403.52,1.52,48.0,Moderate
Iowa,34118.96,1.43,17.0,High
Louisiana,43625.65,1.62,135.0,High
Texas,171352.0,0.0,53.0,High
Arkansas,3472.0,0.0,58.0,Moderate
Kentucky,3820607.0,1.11,84.0,High
Louisiana,3781009.06,1.3,134.0,High
Oklahoma,30000.0,0.0,30.0,High
Texas,498077.0,1.47,76.0,High
Missouri,2966393.0,9.62,57.0,High
Missouri,1218750.0,1.57,37.0,High
Oregon,944120.66,3.66,59.0,Moderate
South Dakota,83487.0,5.26,44.0,High
Florida,21420.0,2.62,65.0,High
California,6854.0,0.0,29.0,High
North Carolina,234000.0,0.0,27.0,High
Alaska,12750.0,1.42,16.0,Low
California,70000.0,0.0,37.0,High
Alaska,75693.0,2.32,33.0,Low
Mississippi,31918.0,0.0,23.0,High
Illinois,65199.6,3.05,25.0,Moderate
South Carolina,327737.84,1.0,57.0,Moderate
Alaska,0.0,1.95,10.0,Low
Florida,28287.0,48.5,39.0,High
Georgia,14850.0,0.0,66.0,High
Texas,161597.84,1.05,112.0,High
Alabama,47032.0,7.94,90.0,High
Florida,23797.0,1.27,38.0,High
Florida,6176398.0,2.57,89.0,High
Northern Mariana Islands,5117.0,2.31,67.0,Low
Florida,479732.0,6.09,32.0,High
Iowa,5250.0,0.0,29.0,High
Louisiana,150000.0,0.0,61.0,High
Mississippi,43492.0,1.06,46.0,High
California,0.0,1.87,120.0,High
Texas,39120.0,4.22,72.0,High
Massachusetts,3675.0,0.0,44.0,Moderate
New Hampshire,878.0,0.0,57.0,Moderate
Illinois,15510.0,0.0,59.0,Moderate
Florida,178916.0,1.39,68.0,High
Florida,967350.0,1.12,45.0,High
Florida,8396.0,1.99,16.0,High
Florida,91369.0,2.09,41.0,High
Florida,2163714.0,1.48,34.0,High
Mississippi,0.0,7.59,30.0,High
Missouri,120727.0,3.06,44.0,High
Florida,0.0,1.76,53.0,High
Texas,224138.0,0.0,55.0,High
Louisiana,150000.0,0.0,52.0,High
Nebraska,49380.0,0.0,36.0,High
Louisiana,3644.0,19.65,26.0,High
Florida,78948.0,9.62,29.0,High
New York,150.0,0.0,91.0,High
Florida,304468.0,2.85,59.0,High
North Carolina,2441556.0,3.75,21.0,High
Alabama,45000.0,0.0,26.0,High
Georgia,1168363.0,1.27,42.0,High
Texas,19500.0,0.0,99.0,High
Texas,181496.0,1.72,74.0,High
Texas,33750.0,2.29,89.0,High
Georgia,18000.0,0.0,51.0,High
Georgia,16201.0,0.0,51.0,High
Tennessee,887357.0,1.14,101.0,Moderate
West Virginia,533060.0,1.05,1.0,Moderate
Texas,45000.0,0.0,48.0,High
Alabama,4000.0,1.37,27.0,High
Alabama,4000.0,1.37,120.0,High
Alabama,4131.0,1.37,27.0,High
Iowa,1828141.0,1.4,40.0,High
Georgia,741384.47,1.18,48.0,High
California,4999999.9,3.84,35.0,High
Alabama,4276.9,0.0,39.0,High
New Mexico,736980.33,1.15,61.0,Low
Alabama,5772.0,1.73,14.0,High
Alabama,6173.25,0.0,29.0,High
Texas,218805.0,1.41,72.0,High
New Jersey,0.0,0.0,36.0,High
Rhode Island,584177.54,1.4,97.0,Low
Nebraska,37947.0,0.0,13.0,High
Vermont,66750.0,1.13,100.0,Moderate
Iowa,278346.0,2.58,23.0,High
Arkansas,93640.11,1.61,39.0,Moderate
Texas,1016475.0,2.28,0.0,High
Kentucky,97125.0,0.0,28.0,High
Iowa,404248.0,0.0,80.0,High
Massachusetts,267053.0,2.63,54.0,Moderate
Texas,2311050.0,1.99,54.0,High
Tennessee,152564.0,0.0,38.0,Moderate
Arkansas,8509.0,0.0,61.0,Moderate
Alabama,139079.13,6.75,132.0,High
Texas,223440.0,3.55,58.0,High
Alabama,54613.0,11.9,73.0,High
Iowa,262006.0,0.0,77.0,High
Oklahoma,17921.0,0.0,20.0,High
Pennsylvania,552539.0,0.0,58.0,High
Alaska,113413.07,0.0,31.0,Low
Florida,495489.66,2.25,62.0,High
Florida,25358.0,9.81,39.0,High
Florida,0.0,1.07,53.0,High
South Dakota,118525.13,0.0,33.0,High
Texas,162276.18,1.97,63.0,High
Alabama,1150750.0,3.17,123.0,High
Alabama,4162.0,1.37,10.0,High
Iowa,116557.0,1.19,26.0,High
Missouri,266025.0,0.0,22.0,High
Louisiana,839208.0,1.27,62.0,High
Missouri,1180049.0,3.65,30.0,High
Oklahoma,341800.0,12.29,55.0,High
Missouri,1129382.0,1.48,30.0,High
New York,45000.0,2.27,110.0,High
Oklahoma,1935.0,0.0,53.0,High
Vermont,85369.0,2.83,105.0,Moderate
Massachusetts,268594.0,1.08,58.0,Moderate
Vermont,186262.0,2.65,122.0,Moderate
California,3202.54,0.0,43.0,High
New Jersey,141777.0,1.06,41.0,High
Kentucky,249217.9,0.0,79.0,High
North Carolina,18899.0,0.0,13.0,High
Vermont,15000.0,0.0,91.0,Moderate
Oregon,21592.0,0.0,79.0,Moderate
Texas,27557.15,0.0,99.0,High
Alaska,218708.0,1.09,28.0,Low
Kentucky,10788.13,2.05,-87.0,High
Alabama,4000.0,1.37,112.0,High
Georgia,21000.0,0.0,40.0,High
New York,63814.0,1.18,22.0,High
Vermont,10112.89,1.25,132.0,Moderate
Alabama,130102.5,7.17,117.0,High
North Carolina,1554556.76,1.56,57.0,High
Alabama,5292.0,0.0,11.0,High
Florida,546950.0,1.67,29.0,High
New Hampshire,101158.0,0.0,52.0,Moderate
Kentucky,73196.79,0.0,78.0,High
Rhode Island,12750.0,0.0,61.0,Low
Florida,71207.0,1.66,23.0,High
Texas,965626.0,1.2,83.0,High
Indiana,463388.79,2.49,56.0,Low
Rhode Island,11120.0,0.0,69.0,Low
Iowa,16745.0,0.0,45.0,High
New Mexico,199382.73,0.0,88.0,Low
Minnesota,26768.0,0.0,43.0,Moderate
Virginia,25611.0,0.0,22.0,Moderate
New Jersey,0.0,1.04,33.0,High
North Carolina,60666.0,7.42,23.0,High
Massachusetts,149500.0,0.0,46.0,Moderate
Iowa,207339.0,0.0,38.0,High
Florida,69888.75,1.57,34.0,High
Alabama,1291796.0,4.57,122.0,High
South Dakota,30000.0,0.0,30.0,High
Nebraska,39204.0,0.0,30.0,High
Texas,4338445.66,2.39,96.0,High
Iowa,50580.0,0.0,46.0,High
Vermont,61434.2,1.13,105.0,Moderate
California,703867.39,1.29,47.0,High
Oklahoma,573187.0,3.86,34.0,High
Alabama,113597.06,6.94,117.0,High
Iowa,830828.0,1.01,41.0,High
Vermont,93855.0,0.0,64.0,Moderate
Arizona,3513.0,0.0,47.0,Low
New Jersey,9075.0,1.22,82.0,High
Illinois,39238.0,0.0,54.0,Moderate
Texas,302181.82,4.04,75.0,High
Alabama,19920.0,0.0,74.0,High
Missouri,795701.0,1.41,30.0,High
New York,43413.0,1.29,41.0,High
North Carolina,5130.0,1.08,40.0,High
Vermont,0.0,0.0,33.0,Moderate
South Dakota,41953.11,0.0,37.0,High
Vermont,124895.0,0.0,31.0,Moderate
Texas,149812.5,1.35,35.0,High
Pennsylvania,880110.19,1.0,0.0,High
Vermont,59396.74,0.0,23.0,Moderate
Oklahoma,181600.14,9.18,59.0,High
Mississippi,318431.44,12.55,54.0,High
Georgia,33737.29,0.0,66.0,High
New Jersey,65960.0,1.17,30.0,High
Mississippi,74269.0,0.0,19.0,High
Florida,277505.0,0.13,32.0,High
Florida,464310.0,1.27,35.0,High
New Mexico,281908.0,0.0,79.0,Low
Vermont,141204.0,0.0,35.0,Moderate
Alaska,343576.48,2.26,38.0,Low
Rhode Island,193502.24,1.04,0.0,Low
Alabama,4960.5,0.0,29.0,High
Alabama,5460.0,1.83,14.0,High
South Dakota,106291.0,1.08,31.0,High
Mississippi,74969.0,0.0,16.0,High
Massachusetts,376774.03,0.0,121.0,Moderate
Kentucky,38749.0,0.0,23.0,High
Iowa,206165.0,2.83,28.0,High
Minnesota,23381.0,0.0,36.0,Moderate
Vermont,1864690.75,1.62,111.0,Moderate
Massachusetts,648575.42,0.0,115.0,Moderate
Oklahoma,82471.13,918.32,57.0,High
New York,879569.0,0.0,28.0,High
Indiana,175851.31,2.3,78.0,Low
Florida,137625.0,3.32,42.0,High
Ohio,118800.0,1.0,63.0,Moderate
Texas,540000.0,1.49,0.0,High
South Dakota,37200.0,1.0,15.0,High
Alabama,5760.0,0.0,9.0,High
California,225000.0,0.0,33.0,High
North Carolina,12996.0,0.0,39.0,High
Maryland,3721.25,0.0,42.0,Moderate
Iowa,904741.0,2.27,25.0,High
New Jersey,142080.0,1.66,57.0,High
Montana,139869.54,15.33,33.0,Low
North Dakota,64639.2,3.26,45.0,High
Minnesota,1913480.42,68.94,73.0,Moderate
Washington,0.0,3.16,18.0,High
Arkansas,209895.0,1.11,40.0,Moderate
Colorado,1495061.54,1.43,52.0,Moderate
Colorado,40493.82,4.07,41.0,Moderate
Alaska,221243.79,3.47,39.0,Low
Colorado,3000000.0,1.94,92.0,Moderate
Texas,66475239.89,0.0,167.0,High
Kentucky,96762.0,8.4,24.0,High
Missouri,136235.0,0.0,63.0,High
Texas,806250.59,1.8,108.0,High
Iowa,3277449.0,0.0,70.0,High
Vermont,184575.25,4.91,115.0,Moderate
Colorado,72826.0,0.0,44.0,Moderate
Vermont,0.0,2.75,95.0,Moderate
Oklahoma,28125.0,0.0,32.0,High
North Carolina,93189.0,1.06,32.0,High
Massachusetts,314088.0,1.72,51.0,Moderate
Nebraska,54674.0,5.69,40.0,High
South Carolina,52914.0,2.5,35.0,Moderate
Nebraska,13930.0,0.0,14.0,High
Colorado,2009854.47,1.57,63.0,Moderate
South Carolina,0.0,2.5,29.0,Moderate
Georgia,29067.75,0.0,46.0,High
Pennsylvania,553652.27,1.0,28.0,High
Massachusetts,11551.47,0.0,28.0,Moderate
Iowa,188895.0,1.16,43.0,High
Minnesota,26205.0,0.0,43.0,Moderate
Pennsylvania,170362.0,1.3,41.0,High
New Hampshire,3223.0,0.0,74.0,Moderate
Tennessee,536013.0,0.0,42.0,Moderate
Iowa,77814.0,0.0,82.0,High
Kentucky,1215000.0,0.0,34.0,High
Arizona,9750.0,0.0,31.0,Low
Massachusetts,35565.0,1.1,56.0,Moderate
Texas,12693.0,0.0,75.0,High
Nebraska,13012.0,0.0,23.0,High
Texas,121237.5,1.43,0.0,High
Florida,43219.5,3.14,42.0,High
Alabama,5292.0,0.0,9.0,High
Alabama,5760.0,0.0,12.0,High
Nevada,159511.58,8.61,41.0,Low
Florida,313319.11,3.63,57.0,High
Oklahoma,18376.36,0.0,37.0,High
Florida,284154.66,4.61,57.0,High
Missouri,76078.0,0.0,26.0,High
South Dakota,47007.05,0.0,22.0,High
New Jersey,60000.0,1.06,25.0,High
Colorado,0.0,0.0,21.0,Moderate
Arkansas,28125.0,0.0,50.0,Moderate
Florida,1588664.69,1.0,66.0,High
South Dakota,55309.11,0.0,48.0,High
Florida,112500.0,4.78,61.0,High
South Carolina,0.0,0.0,8.0,Moderate
Arkansas,37500.0,0.0,33.0,Moderate
South Carolina,0.0,0.0,51.0,Moderate
Florida,0.0,1.17,31.0,High
Washington,957187.5,3.39,66.0,High
Iowa,10909.6,0.0,27.0,High
Kentucky,25860.09,8.32,35.0,High
Florida,72566.25,1.23,35.0,High
South Dakota,146753.81,0.0,32.0,High
Alabama,4680.0,0.0,14.0,High
Georgia,19650.75,0.0,41.0,High
South Dakota,9617.96,1.9,13.0,High
Missouri,120727.0,3.75,44.0,High
Texas,2867998.98,1.64,68.0,High
Massachusetts,387413.0,4.29,75.0,Moderate
New Jersey,0.0,1.85,33.0,High
New Jersey,248182.27,2.39,76.0,High
Iowa,197757.0,0.0,24.0,High
Wisconsin,152407.45,0.0,29.0,Moderate
Minnesota,2120.0,0.0,48.0,Moderate
Texas,0.0,0.0,5.0,High
Mississippi,18744.75,0.0,15.0,High
Vermont,205296.26,2.38,58.0,Moderate
South Dakota,112541.44,0.0,32.0,High
Alabama,5460.0,0.0,11.0,High
Colorado,1157454.65,1.96,154.0,Moderate
Missouri,37156.54,2.16,19.0,High
Florida,162040.76,3.69,52.0,High
California,97920.0,0.0,25.0,High
Texas,120088.5,0.0,44.0,High
Florida,49719.44,1.09,51.0,High
California,224898.12,6.56,52.0,High
Virginia,76038.75,0.0,84.0,Moderate
Georgia,20197.91,0.0,54.0,High
Florida,33324.0,1.55,33.0,High
Florida,85567.5,14.28,60.0,High
Oklahoma,230032.99,9.18,62.0,High
Massachusetts,649578.51,1.41,73.0,Moderate
Missouri,97108.49,0.0,20.0,High
Washington,30193.71,4.5,47.0,High
Washington,16194.0,0.0,45.0,High
California,1443951.33,4.16,33.0,High
Alabama,6540.0,0.0,10.0,High
Alabama,4980.0,0.0,12.0,High
Alabama,6540.0,0.0,10.0,High
Maine,51827.84,1.33,14.0,Low
Alabama,4824.0,0.0,29.0,High
South Dakota,53540.0,0.0,47.0,High
California,6159.75,0.0,6.0,High
Washington,274735.8,1.37,34.0,High
Massachusetts,169400.0,2.7,61.0,Moderate
Kentucky,500000.0,1.0,64.0,High
Florida,123050.25,1.74,59.0,High
Alabama,4992.0,0.0,13.0,High
Massachusetts,28200.73,1.86,48.0,Moderate
Missouri,26118.0,0.0,32.0,High
Virginia,528150.0,1.26,4.0,Moderate
Alabama,55492.5,1.37,138.0,High
Nebraska,105480.0,0.0,20.0,High
Iowa,22500.0,0.0,22.0,High
Alabama,36335.0,1.37,99.0,High
New York,46875.0,0.0,66.0,High
Nebraska,62297.0,0.0,39.0,High
Alabama,12000.0,1.37,94.0,High
Kentucky,28933.0,7.94,28.0,High
Minnesota,53081.0,0.0,11.0,Moderate
Alabama,50854.88,5.16,115.0,High
Alabama,146741.47,3.47,114.0,High
New York,3355.0,0.0,51.0,High
Northern Mariana Islands,97000.0,0.0,40.0,Low
Florida,975000.0,0.0,16.0,High
Oklahoma,30839.95,0.0,41.0,High
New York,1726696.5,1.51,60.0,High
Texas,0.0,0.0,9.0,High
Iowa,20297.36,0.0,19.0,High
Pennsylvania,157814.05,2.96,46.0,High
California,176294.25,0.0,29.0,High
Alabama,4980.0,0.0,9.0,High
Alabama,5292.0,0.0,11.0,High
Alabama,4960.5,0.0,33.0,High
Kansas,20123.99,2.88,18.0,High
Missouri,16125.0,0.0,25.0,High
Missouri,118513.5,1.0,18.0,High
California,3360791.45,5.16,74.0,High
Florida,12225.0,1.05,41.0,High
Alabama,81264.0,3.04,42.0,High
California,17347.0,10.57,13.0,High
Wisconsin,58009.87,0.0,63.0,Moderate
Pennsylvania,37500.0,0.0,1.0,High
Texas,511776.24,16.99,44.0,High
Alabama,119626.03,2.34,33.0,High
Alabama,5547.0,0.0,29.0,High
Iowa,20297.36,0.0,18.0,High
Vermont,76786.87,0.0,41.0,Moderate
California,173250.0,1.0,9.0,High
Florida,154263.94,4.41,39.0,High
Oklahoma,259375.26,3.41,54.0,High
Texas,1005645.0,3.06,83.0,High
Oklahoma,192447.97,0.0,36.0,High
Alabama,5760.0,0.0,9.0,High
Alabama,4715.25,0.0,7.0,High
Alabama,4992.0,0.0,14.0,High
Alabama,5460.0,0.0,17.0,High
Alabama,5547.0,0.0,5.0,High
South Dakota,13012.24,0.0,17.0,High
Vermont,74995.12,1.0,32.0,Moderate
Michigan,664505.5,1.01,56.0,Moderate
Florida,26894.23,9.34,39.0,High
California,79953.77,1.0,15.0,High
Nebraska,337.59,0.0,18.0,High
Kentucky,189148.58,2.04,69.0,High
Florida,0.0,9.8,37.0,High
California,29932.71,0.0,32.0,High
Nevada,159533.24,6.32,41.0,Low
Florida,812681.22,1.37,59.0,High
Nevada,506469.91,6.57,47.0,Low
Oregon,22658.17,0.0,39.0,Moderate
Alabama,5772.0,1.73,15.0,High
South Dakota,75134.4,1.75,26.0,High
California,2758374.75,1.21,65.0,High
Pennsylvania,38700.0,0.0,26.0,High
Minnesota,538599.0,0.0,35.0,Moderate
Pennsylvania,46276.0,0.0,28.0,High
Iowa,144841.0,0.0,48.0,High
New Hampshire,7428.69,0.0,53.0,Moderate
New York,18372.0,1.2,48.0,High
New Jersey,142080.0,1.41,60.0,High
Pennsylvania,481902.0,1.15,38.0,High
Kansas,201759.0,1.94,20.0,High
Texas,149976.74,1.36,54.0,High
Wisconsin,310459.17,1.05,41.0,Moderate
Oklahoma,200494.67,7.35,41.0,High
Alaska,1023750.0,19.94,0.0,Low
Oklahoma,739965.24,9.18,39.0,High
Georgia,370023.94,2.85,53.0,High
Florida,350385.0,1.95,22.0,High
Massachusetts,230018.0,2.1,80.0,Moderate
Oklahoma,6322.0,0.0,68.0,High
Florida,22028.0,1.64,26.0,High
Louisiana,90000.0,0.0,53.0,High
Arkansas,45000.0,0.0,71.0,Moderate
Mississippi,284205.75,6.29,49.0,High
Indiana,224145.0,5.66,42.0,Low
South Dakota,2781.0,2.21,28.0,High
Minnesota,494864.74,1.25,52.0,Moderate
Texas,618950.0,1.53,81.0,High
Virginia,393750.0,1.0,49.0,Moderate
North Carolina,0.0,1.39,63.0,High
Georgia,24525.0,0.0,26.0,High
Michigan,39465.0,0.0,40.0,Moderate
Texas,633446.44,1.28,55.0,High
Vermont,23954.0,2.27,17.0,Moderate
Massachusetts,187372.0,1.07,46.0,Moderate
Mississippi,16031.0,0.0,36.0,High
Georgia,23256.0,9.41,32.0,High
Alabama,66552.0,0.0,81.0,High
Missouri,1206000.0,3.53,37.0,High
Tennessee,578265.0,1.42,47.0,Moderate
Michigan,187500.0,1.08,56.0,Moderate
Maryland,1610.0,1.13,0.0,Moderate
Northern Mariana Islands,19663.0,4.74,114.0,Low
Oklahoma,768901.21,9.18,53.0,High
Wisconsin,630399.17,2.11,48.0,Moderate
South Dakota,151162.13,0.0,29.0,High
South Dakota,50198.24,0.0,17.0,High
