state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel,ZoneRiskLevelNumeric,RiskScore,InsuranceZone
Maryland,0.00041665697072340775,4.033771346849065e-07,0.3949367088607595,Moderate,0.5,619767.5591540044,High
Texas,0.0034078561379314405,4.033771346849065e-07,0.49367088607594933,High,0.8,619767.6250973197,High
Mississippi,4.295788235644401e-05,0.0,0.4430379746835443,High,0.8,0.4586247780896514,Low
Oklahoma,0.00013273601948986935,0.0,0.6050632911392405,High,0.8,0.49106575263564406,Moderate
Mississippi,0.00011648180667874066,0.0,0.5670886075949367,High,0.8,0.4834643142416588,Moderate
Florida,0.0008734978431471489,7.099437570454354e-07,0.5113924050632911,High,0.8,352140.7936506074,High
Missouri,0.004679058900968483,1.3795498006223802e-06,0.4810126582278481,High,0.8,181218.75754783943,Moderate
Oklahoma,0.00030535286313798887,1.5287993404557956e-06,0.5670886075949367,High,0.8,163527.25332878088,Moderate
West Virginia,0.00030961237164815243,4.2354599141915184e-07,0.3949367088607595,Moderate,0.5,590254.8255397581,High
Alabama,9.735550865342106e-05,3.307692504416233e-06,0.6759493670886076,High,0.8,75581.64608247417,Moderate
Texas,0.00012541139672405717,0.0,0.5037974683544304,High,0.8,0.4708096582295757,Low
North Dakota,0.0015318479562357232,5.284240464372275e-07,0.5367088607594936,High,0.8,473105.1172674885,High
Virgin Islands of the U.S.,0.004119058958208633,4.747748875241349e-06,0.5468354430379747,Low,0.2,52656.67499941908,Moderate
Florida,0.00023884451206814873,5.526266745183219e-07,0.5215189873417722,High,0.8,452385.19155262,High
Puerto Rico,4.570648213464626e-05,6.175703932025919e-06,0.4582278481012658,Moderate,0.5,40481.381882663445,Moderate
Washington,0.0003216399217911167,0.0,0.6962025316455696,High,0.8,0.5093691622978304,Moderate
Texas,0.002773463886506549,5.445591318246238e-07,0.610126582278481,High,0.8,459087.2098013687,High
Florida,0.0,1.064915635568153e-06,0.40253164556962023,High,0.8,234760.5811881473,Moderate
Florida,0.00037901115681391847,1.7506567645324941e-06,0.5240506329113924,High,0.8,142803.77450090158,Moderate
California,4.4506175628571586e-05,0.0,0.4835443037974684,High,0.8,0.4667266632297451,Low
Arkansas,6.71846768164592e-05,0.0,0.5746835443037974,Moderate,0.5,0.4399635827314861,Low
New Jersey,0.0,4.033771346849065e-07,0.4860759493670886,High,0.8,619767.6222151899,High
New Jersey,0.00024212879766950086,1.1697936905862287e-06,0.6556962025316455,High,0.8,213713.14951195414,Moderate
Maine,0.00012364070724173892,5.405253604777747e-07,0.4506329113924051,Low,0.2,462513.10898200877,High
Massachusetts,0.0002742254558725143,5.929643879868125e-07,0.5012658227848101,Moderate,0.5,421610.65495469153,High
Alaska,3.289361776933842e-05,0.0,0.5012658227848101,Low,0.2,0.38026632200406973,Low
Texas,0.003680952891233438,5.04221418356133e-07,0.5670886075949367,High,0.8,495814.15889010276,High
Mississippi,4.770559951814046e-05,0.0,0.46329113924050636,High,0.8,0.4626773100879085,Low
Massachusetts,2.1752905360351343e-05,0.0,0.589873417721519,Moderate,0.5,0.44298338470644794,Low
Minnesota,0.00020155403044937759,2.258911954235476e-06,0.5594936708860759,Moderate,0.5,110672.93787221295,Moderate
New Jersey,0.00011197446136076533,0.0,0.6886075949367089,High,0.8,0.5077663087718861,Moderate
Oklahoma,0.00196151785236207,5.203565037435293e-07,0.5012658227848101,High,0.8,480440.069874981,High
Florida,0.00022884429687294148,6.655722722300957e-07,0.5113924050632911,High,0.8,375616.83146092785,High
Nebraska,7.085146717781972e-05,0.0,0.40759493670886077,High,0.8,0.45154732792864327,Low
Oklahoma,1.789799790390473e-05,0.0,0.4582278481012658,High,0.8,0.4616527288194147,Low
Iowa,0.001555559668173479,0.0,0.46582278481012657,High,0.8,0.4637867808292947,Low
Pennsylvania,0.0004110209228349159,4.033771346849065e-07,0.3949367088607595,High,0.8,619767.6041517501,High
Puerto Rico,0.00012916030169041559,3.1342403365017232e-06,0.5164556962025316,Moderate,0.5,79764.32313044815,Moderate
Virginia,0.00012317190749684185,0.0,0.589873417721519,Moderate,0.5,0.4430239523073025,Low
Oklahoma,0.0010965688860916111,9.237336384284358e-07,0.5443037974683544,High,0.8,270641.01750899403,High
Kansas,2.0462959565475328e-05,0.0,0.46582278481012657,High,0.8,0.46317274214585147,Low
Georgia,1.9431301528138142e-05,0.0,0.5063291139240507,High,0.8,0.47127359530542134,Low
California,0.00010450949727004763,0.0,0.48860759493670886,High,0.8,0.46776332278624977,Low
Montana,0.00031592623827608144,4.739681332547651e-06,0.5063291139240507,Low,0.2,52746.293519852865,Moderate
Alabama,6.382544297563624e-05,5.243902750903784e-07,0.5164556962025316,High,0.8,476744.3810089771,High
Nebraska,0.000335923384082296,0.0,0.5746835443037974,High,0.8,0.48507107821439244,Moderate
Kentucky,0.0019275398440490575,1.2181989467484176e-06,0.7215189873417722,High,0.8,205221.260107926,Moderate
Mississippi,0.0013105343151374976,0.0,0.6455696202531646,High,0.8,0.49963813777668786,Moderate
Virginia,1.9259607354051636e-06,0.0,0.43291139240506327,Moderate,0.5,0.4115830488653068,Low
Mississippi,3.5566074913815356e-05,0.0,0.4734177215189873,High,0.8,0.46469777073376295,Low
Ohio,0.002300925881681913,5.566604458651709e-07,0.5139240506329114,Moderate,0.5,449106.9939225719,High
New Jersey,0.0012152961539688397,0.0,0.5164556962025316,High,0.8,0.47377725770209383,Low
Kentucky,0.0017265761728198306,2.3516886952130047e-06,0.6329113924050633,High,0.8,106306.83475146812,Moderate
Mississippi,0.0013065851998342263,9.560038092032284e-07,0.5417721518987342,High,0.8,261505.46305427965,High
Florida,0.00019351426412367464,3.1463416505422704e-06,0.45569620253164556,High,0.8,79457.57083203085,Moderate
District of Columbia,3.2514397593529966e-05,0.0,0.5240506329113924,Low,0.2,0.38482313234131593,Low
Kansas,0.0001511655228370332,4.396810768065481e-07,0.43037974683544306,High,0.8,568594.1556777,High
Pennsylvania,0.00010471806836674228,1.9402440178344e-06,0.6911392405063291,High,0.8,128850.0306190077,Moderate
New Mexico,4.427568739730658e-05,0.0,0.5569620253164557,Low,0.2,0.3914101153382501,Low
New Jersey,0.00040926013189498196,8.349906687977564e-07,0.5949367088607596,High,0.8,299404.7826293067,High
Ohio,0.00013613526553821857,4.154784487254537e-07,0.4708860759493671,Moderate,0.5,601716.0964161353,High
Federated States of Micronesia,0.00026223224456436723,2.2064729267264385e-06,0.7012658227848101,Low,0.2,113303.16944398067,Moderate
Connecticut,0.00014929928181435376,2.9527206258935154e-06,0.4379746835443038,Moderate,0.5,84667.84093334494,Moderate
Virgin Islands of the U.S.,0.00015617451374190476,8.430582114914545e-07,0.4734177215189873,Low,0.2,296539.5529756792,High
Louisiana,0.00014448139399020457,5.808630739462653e-07,0.4481012658227848,High,0.8,430394.2409280458,High
Florida,0.0010499203254887163,6.575047295363975e-07,0.5063291139240507,High,0.8,380225.62352628174,High
Ohio,3.1345384216923575e-05,0.0,0.4531645569620253,Moderate,0.5,0.4156454495460919,Low
California,0.0001493007748071719,0.0,0.4911392405063291,High,0.8,0.4682875684111887,Low
New York,0.00021227610767215723,1.363414715234984e-06,0.4962025316455696,High,0.8,183363.3568993813,Moderate
Kentucky,6.441771322659377e-05,0.0,0.45569620253164556,High,0.8,0.4611650075916197,Low
Kentucky,4.575425790482685e-05,0.0,0.44556962025316454,High,0.8,0.4591322257537948,Low
Mississippi,3.3619212278956184e-05,0.0,0.42278481012658226,High,0.8,0.454570409710228,Low
Michigan,0.000335923384082296,6.413696441490014e-07,0.6430379746835443,Moderate,0.5,389791.0244966813,High
Florida,0.0,1.55300196853689e-06,0.4278481012658228,High,0.8,160978.752322867,Moderate
North Dakota,1.766355324167165e-05,0.0,0.4430379746835443,High,0.8,0.4586146603580056,Low
Connecticut,4.478978454430613e-05,6.090994733742088e-07,0.5772151898734177,Moderate,0.5,410442.1805271791,High
Oklahoma,5.9719712725741505e-05,4.477486195002462e-07,0.5012658227848101,High,0.8,558349.2337905659,High
Tennessee,1.5434559753967893e-05,0.0,0.4582278481012658,Moderate,0.5,0.4166517434441548,Low
Arkansas,0.0007165021833552652,1.5489681971900408e-06,0.4810126582278481,Moderate,0.5,161397.93320788257,Moderate
California,0.00010347037426861973,0.0,0.4177215189873418,High,0.8,0.4535856919471758,Low
Colorado,6.342091657156025e-05,0.0,0.46582278481012657,Moderate,0.5,0.41818992532865396,Low
Maryland,7.726237833892807e-06,0.0,0.2759493670886076,Moderate,0.5,0.3801929639128551,Low
North Carolina,5.1785948890126744e-05,1.565103282577437e-06,0.5417721518987342,High,0.8,159734.095643186,Moderate
Alabama,0.0,0.0,0.4050632911392405,High,0.8,0.4510126582278481,Low
Florida,3.1979906164634573e-05,1.056848092874455e-06,0.5594936708860759,High,0.8,236552.6765680147,Moderate
Virginia,1.4734346122258574e-05,0.0,0.3949367088607595,Moderate,0.5,0.4039932355106008,Low
Texas,0.0024451108718079317,0.0,0.830379746835443,High,0.8,0.5370539937158118,Moderate
Oklahoma,0.00022079884224460142,5.352814577268709e-06,0.5063291139240507,High,0.8,46704.62263522748,Moderate
Louisiana,0.005940131424065786,4.6791747623449146e-07,0.8227848101265822,High,0.8,534282.5326226698,High
Illinois,0.001002314637049966,8.269231261040582e-07,0.5518987341772152,Moderate,0.5,302325.7491953069,High
Oregon,0.00023673864569815725,1.2706379742574553e-06,0.5721518987341772,Moderate,0.5,196751.74666793237,Moderate
Alaska,0.00010789859096723347,7.543152418607751e-07,0.46329113924050636,Low,0.2,331426.54248748353,High
Kentucky,0.0004980907709962289,0.0,0.5443037974683544,High,0.8,0.47905999580206937,Moderate
Washington,0.0007464964090717688,2.436397893496835e-06,0.5139240506329114,High,0.8,102610.72059996497,Moderate
Florida,2.770994670474406e-06,2.2105066980732876e-06,0.43544303797468353,High,0.8,113096.44887803718,Moderate
Nebraska,8.162788933917978e-05,2.295215896357118e-06,0.4962025316455696,High,0.8,108922.4345631399,Moderate
Alabama,6.158595374842093e-05,0.0,0.44050632911392407,High,0.8,0.4581259002042842,Low
South Carolina,0.00034255824416612587,1.2666042029106064e-06,0.45569620253164556,Moderate,0.5,197378.32073486256,Moderate
Ohio,0.0003090495133557123,4.033771346849065e-07,0.4810126582278481,Moderate,0.5,619767.5763261514,High
Kansas,3.4026799318309366e-05,0.0,0.5037974683544304,High,0.8,0.47077310439061343,Low
Minnesota,0.00145577997215131,0.0,0.5012658227848101,Moderate,0.5,0.4258354765458226,Low
Tennessee,0.0019180000976988221,9.640713518969265e-07,0.5037974683544304,Moderate,0.5,259317.08238443432,High
Alabama,0.00010980514279600276,2.9567543972403645e-06,0.7392405063291139,High,0.8,84552.4377419551,Moderate
Illinois,0.00010091884954241242,0.0,0.5518987341772152,Moderate,0.5,0.43542011437526,Low
Ohio,7.838212295253573e-06,0.0,0.5367088607594936,Moderate,0.5,0.4323449074368168,Low
Missouri,0.0004258254396196272,4.3564730545969905e-07,0.4860759493670886,High,0.8,573858.9257188533,High
Oklahoma,8.957956908861225e-06,1.980581731302891e-06,0.4151898734177215,High,0.8,126225.7437747554,Moderate
Virginia,0.00031912721487818116,7.898124297130468e-06,0.5240506329113924,Moderate,0.5,31653.26497352824,Moderate
Georgia,2.7856260000922124e-05,0.0,0.49873417721518987,High,0.8,0.46975797794703833,Low
Missouri,0.0020888686467568957,6.85741128964341e-07,0.549367088607595,High,0.8,364569.292473671,High
Kansas,0.0003997488270579322,7.704503272481713e-07,0.4860759493670886,High,0.8,324485.7697311104,High
Montana,0.0001528575763876198,0.0,0.4734177215189873,Low,0.2,0.3747446873343525,Low
Texas,0.0022323583799873613,4.0741090603175555e-07,0.6556962025316455,High,0.8,613631.3460915898,High
New Jersey,0.0,4.517823908470953e-07,0.4962025316455696,High,0.8,553363.973704792,High
Iowa,3.359341336305866e-05,0.0,0.44556962025316454,High,0.8,0.4591273614159781,Low
Alabama,2.2851748074504986e-05,0.0,0.5341772151898734,High,0.8,0.4768445837372045,Moderate
Washington,0.0011256374562608658,0.0,0.6734177215189874,High,0.8,0.5051337992863019,Moderate
Missouri,0.0037879541935169673,5.526266745183219e-07,0.4962025316455696,High,0.8,452385.1879089727,High
New Jersey,0.00022102414979078744,0.0,0.4810126582278481,High,0.8,0.46629094130548593,Low
South Carolina,4.490008685371058e-05,0.0,0.5848101265822785,Moderate,0.5,0.4419799853511972,Low
Louisiana,0.00020217362246890714,1.0407130074870587e-06,0.6303797468354431,High,0.8,240220.1705754235,Moderate
Oklahoma,2.517783088517262e-05,0.0,0.42278481012658226,High,0.8,0.45456703315767055,Low
South Dakota,5.211142132448204e-05,4.880863329687369e-07,0.4506329113924051,High,0.8,512204.6770895756,High
Louisiana,5.5987230680382664e-05,0.0,0.6126582278481012,High,0.8,0.4925540404618924,Moderate
Kentucky,0.0010937202557945933,4.0741090603175555e-07,0.4531645569620253,High,0.8,613631.3051298055,High
New Jersey,0.0006513554417355719,4.6388370488764244e-07,0.549367088607595,High,0.8,538928.4083948295,High
Iowa,0.004685904273039671,5.082551897029821e-07,0.49367088607594933,High,0.8,491879.1134656819,High
South Carolina,9.270076015451041e-05,2.4565667502310805e-06,0.5291139240506328,Moderate,0.5,101768.22765789468,Moderate
Wisconsin,2.2906764859853577e-05,0.0,0.5316455696202531,Moderate,0.5,0.4313382766299946,Low
Illinois,8.485723280482425e-05,4.033771346849065e-07,0.49873417721518987,Moderate,0.5,619767.5797807783,High
Tennessee,0.00010139511425140021,6.534709581895486e-07,0.46329113924050636,Moderate,0.5,382572.6399210081,High
Oklahoma,2.9800136650145012e-05,0.0,0.4734177215189873,High,0.8,0.46469546435845754,Low
Florida,0.0003921733814986719,5.485929031714728e-07,0.5265822784810127,High,0.8,455711.5526792074,High
Virginia,0.0008715987562824703,0.0,0.3949367088607595,Moderate,0.5,0.4043359812746649,Low
Oklahoma,6.51512205981477e-05,0.0,0.4835443037974684,High,0.8,0.46673492124773297,Low
Florida,0.00012484107346752633,8.995310103473415e-07,0.5012658227848101,High,0.8,277922.8234421144,High
Nebraska,3.7892157724482986e-05,1.5409006544963426e-06,0.46835443037974683,High,0.8,162242.98986405344,Moderate
Georgia,4.3574488390337287e-05,0.0,0.44556962025316454,High,0.8,0.459131353845989,Low
California,0.0004798945477769,4.989775156052293e-06,0.4835443037974684,High,0.8,50102.67486363185,Moderate
Alabama,2.382368639911643e-05,0.0,0.5367088607594936,High,0.8,0.47735130162645834,Moderate
Oklahoma,4.534965685110996e-05,0.0,0.5164556962025316,High,0.8,0.47330927910324677,Low
Georgia,6.119478963006732e-05,0.0,0.43544303797468353,High,0.8,0.4571130855107887,Low
Iowa,0.0006565062669581671,7.543152418607751e-07,0.43544303797468353,High,0.8,331426.6271373064,High
Arkansas,0.0008359625107062021,2.8680114276096854e-06,0.4810126582278481,Moderate,0.5,87168.58292932171,Moderate
Alabama,3.35923384082296e-05,0.0,0.46329113924050636,High,0.8,0.46267166478346455,Low
Puerto Rico,0.00013895284158461904,2.548536736939239e-05,0.46582278481012657,Moderate,0.5,9809.71878993867,Moderate
New York,0.00716444404533203,5.082551897029821e-07,0.6784810126582279,High,0.8,491879.1514191231,High
Oklahoma,0.0016416501130460898,4.5984993354079337e-07,0.4810126582278481,High,0.8,543655.8352802444,High
South Dakota,0.00023956264161367576,5.364915891309256e-07,0.4481012658227848,High,0.8,465990.7397912663,High
Maryland,0.0001220521628832342,1.2746717456043046e-06,0.4506329113924051,Moderate,0.5,196129.09080831453,Moderate
Florida,1.656923429575698e-05,6.817073576174919e-06,0.5113924050632911,High,0.8,36672.84979990161,Moderate
Missouri,0.0016439015462158502,1.4279550567845689e-06,0.5189873417721519,High,0.8,175075.7625906222,Moderate
Missouri,0.0017498920923614961,1.2948406023385497e-06,0.4582278481012658,High,0.8,193074.17028945172,Moderate
Pennsylvania,0.00012060843882808941,4.0741090603175555e-07,0.4430379746835443,High,0.8,613631.3027152442,High
Florida,0.0044893950653228,4.396810768065481e-07,0.4911392405063291,High,0.8,568594.1695648904,High
Oregon,0.00295313262792239,2.5453097198617597e-06,0.6151898734177215,Moderate,0.5,98220.07322873647,Moderate
Minnesota,7.951082552305224e-05,0.0,0.5772151898734177,Moderate,0.5,0.44047484230489276,Low
Kentucky,0.0022324353586970647,7.381801564733789e-07,0.6177215189873417,High,0.8,338670.9575520321,High
North Carolina,0.00010584827886000514,6.171670160679069e-07,0.6050632911392405,High,0.8,405076.9763491152,High
Florida,6.849403151797108e-05,1.6941839656766074e-06,0.49367088607594933,High,0.8,147563.8866187177,Moderate
Connecticut,8.87957478590869e-05,6.090994733742088e-07,0.4734177215189873,Moderate,0.5,410442.1597852878,High
California,0.000167961692041148,0.0,0.4506329113924051,High,0.8,0.46019376695529746,Low
New York,5.008990904871569e-06,0.0,0.5240506329113924,High,0.8,0.47481213017864043,Moderate
New Hampshire,8.84598244750046e-05,4.880863329687369e-07,0.4734177215189873,Moderate,0.5,512204.636661077,High
Virginia,0.0002687387072658368,0.0,0.4810126582278481,Moderate,0.5,0.421310027128476,Low
Arkansas,3.359084541541145e-05,0.0,0.5012658227848101,Moderate,0.5,0.4252666008951282,Low
Alabama,8.945714367752449e-05,1.6538462522081164e-06,0.6911392405063291,High,0.8,151163.03997094807,Moderate
Oklahoma,0.0008664270291604211,1.0205441507528133e-06,0.5164556962025316,High,0.8,244967.5773926508,Moderate
New Jersey,0.0002177533757744395,9.640713518969265e-07,0.6227848101265823,High,0.8,259317.15050180396,High
Oklahoma,0.00030295138419000504,0.0,0.4835443037974684,High,0.8,0.4668300413131697,Low
Florida,0.00023486643270420525,9.358349524689829e-07,0.4860759493670886,High,0.8,267141.3401539641,High
Maryland,0.0004622499854038751,4.033771346849065e-07,0.5265822784810127,Moderate,0.5,619767.5855013557,High
Washington,0.0,8.269231261040582e-07,0.41012658227848103,High,0.8,302325.7654399506,High
New Mexico,0.0005906335725105798,4.3564730545969905e-07,0.49873417721518987,Low,0.2,573858.8383164222,High
Louisiana,0.00021235834171658054,9.479362665095302e-07,0.5721518987341772,High,0.8,263731.04515362094,High
Ohio,4.460006994690463e-05,4.6549721342638205e-06,0.4860759493670886,Moderate,0.5,53706.186531123494,Moderate
Maine,0.00016876641517012735,4.880863329687369e-07,0.4835443037974684,Low,0.2,512204.5937185161,High
North Carolina,0.00044483585154240254,8.309568974509074e-07,0.47848101265822784,High,0.8,300858.1794663699,High
Northern Mariana Islands,5.509143498949654e-05,1.3472796298475877e-06,0.6075949367088608,Low,0.2,185559.2548344371,Moderate
Oregon,0.0001383332495650895,8.995310103473415e-07,0.5924050632911393,Moderate,0.5,277922.7966753594,High
Michigan,0.00033844206296650413,4.2354599141915184e-07,0.5848101265822785,Moderate,0.5,590254.8635259735,High
Ohio,2.7993615340191332e-05,0.0,0.4759493670886076,Moderate,0.5,0.4202010708638576,Low
South Carolina,0.00041741839706066096,0.0,0.6506329113924051,Moderate,0.5,0.45529354963730534,Low
Kansas,0.000347562756092543,4.1951222007230277e-07,0.5139240506329114,High,0.8,595930.4200392199,High
Alabama,1.948504926959131e-05,5.526266745183219e-07,0.6354430379746836,High,0.8,452385.2142496863,High
Texas,0.0002497493316118691,0.0,0.7063291139240506,High,0.8,0.5113657225174548,Moderate
Kansas,5.413591958588468e-06,5.727955312525672e-07,0.46329113924050636,High,0.8,436456.13167447783,High
Oklahoma,2.9394042603609968e-05,0.0,0.5367088607594936,High,0.8,0.47735352976894013,Moderate
Michigan,0.000390790870149071,4.033771346849065e-07,0.5746835443037974,Moderate,0.5,619767.5950930251,High
Louisiana,0.00037164323725638013,2.0410883015056266e-06,0.4860759493670886,High,0.8,122483.89424131755,Moderate
Florida,0.0009196414586490194,4.6791747623449146e-07,0.6683544303797468,High,0.8,534282.4997283979,High
California,0.00023659203380341554,0.0,0.5240506329113924,High,0.8,0.47490476339579984,Moderate
New York,3.0427193633765296e-06,0.0,0.6025316455696202,High,0.8,0.4905075462016694,Moderate
Georgia,0.001744357567984638,5.122889610498312e-07,0.5012658227848101,High,0.8,488006.051659569,High
North Dakota,6.199055480213783e-05,0.0,0.5088607594936709,High,0.8,0.47179694812065504,Low
Ohio,0.00025582564815250335,4.033771346849065e-07,0.5164556962025316,Moderate,0.5,619767.5833934695,High
Montana,3.6727623326331024e-05,0.0,0.6,Low,0.2,0.4000146910493305,Low
Wisconsin,0.0008244619870280425,4.7195124758134053e-07,0.5620253164556962,Moderate,0.5,529715.9185040789,High
Alaska,2.879983146198884e-06,0.0,0.4759493670886076,Low,0.2,0.37519102541097993,Low
New Jersey,0.00011197446136076533,7.139775283922844e-07,0.6531645569620252,High,0.8,350151.32694888767,High
New Jersey,5.895791314028376e-05,0.0,0.4962025316455696,High,0.8,0.46926408949437004,Low
Florida,0.0008434931664809182,8.954972390004924e-07,0.5139240506329114,High,0.8,279174.72987896414,High
Mississippi,0.00029195922456642324,1.1375235198114362e-06,0.4759493670886076,High,0.8,219775.89083857203,Moderate
Oregon,0.00015249876542363538,1.315009459072795e-06,0.5594936708860759,Moderate,0.5,190112.8878799791,Moderate
New York,8.425107772065797e-05,0.0,0.589873417721519,High,0.8,0.48800838397539203,Moderate
Alabama,8.548534981334542e-05,2.166135213257948e-06,0.6784810126582279,High,0.8,115413.18031140225,Moderate
Iowa,0.0003911730763105157,0.0,0.589873417721519,High,0.8,0.488131152774828,Moderate
Florida,9.762680037840593e-06,3.938977720198112e-05,0.4481012658227848,High,0.8,6347.03404812137,Moderate
Alabama,3.560787871272337e-05,5.526266745183219e-07,0.6126582278481012,High,0.8,452385.2096991734,High
Texas,8.505580084963734e-06,0.0,0.6582278481012658,High,0.8,0.5016489718522872,Moderate
Virginia,3.593185815426052e-05,0.0,0.3949367088607595,Moderate,0.5,0.4040017145154136,Low
Montana,1.0885828675073612e-05,0.0,0.49367088607594933,Low,0.2,0.37873853154665993,Low
Florida,0.0012512082299682597,3.731238495835385e-06,0.4582278481012658,High,0.8,67002.09376767452,Moderate
Texas,9.725280567746096e-06,0.0,0.7670886075949367,High,0.8,0.5234216116312145,Moderate
Louisiana,0.0018783519266114236,1.008442836712266e-06,0.6481012658227848,High,0.8,247907.21237159395,Moderate
Idaho,0.0,0.0,0.39746835443037976,Low,0.2,0.359493670886076,Low
Alabama,0.00020155403044937759,1.0124766080591152e-06,0.4962025316455696,High,0.8,246919.50418168577,Moderate
Nebraska,1.0073804811213526e-05,0.0,0.5316455696202531,High,0.8,0.4763331434459751,Moderate
Maryland,2.9859856362870752e-05,0.0,0.38987341772151896,Moderate,0.5,0.402986627486849,Low
Iowa,3.752338849840153e-05,6.736398149237938e-07,0.5316455696202531,High,0.8,371118.43293094967,High
Florida,0.0003010903686421891,6.494371868426995e-07,0.48860759493670886,High,0.8,384948.9165997191,High
Florida,0.003979800784662775,5.203565037435293e-07,0.5265822784810127,High,0.8,480440.0757455854,High
Kentucky,8.737889767466868e-05,3.912758206443592e-06,0.46582278481012657,High,0.8,63893.760106725036,Moderate
Missouri,3.4968609047850674e-05,0.0,0.43544303797468353,High,0.8,0.4571025950385558,Low
South Carolina,7.647573535297643e-05,0.0,0.49873417721518987,Moderate,0.5,0.4247774257371792,Low
South Carolina,0.0005478507286321349,9.560038092032284e-07,0.5594936708860759,Moderate,0.5,261505.42129508968,High
Maine,8.283124155060346e-06,6.010319306805107e-07,0.4835443037974684,Low,0.2,415951.405235664,High
New Jersey,0.00022320835349394692,4.114446773786046e-07,0.4759493670886076,High,0.8,607615.3182203332,High
New Hampshire,0.00012675956923884077,4.0741090603175555e-07,0.5949367088607596,Moderate,0.5,613631.2880974516,High
Alabama,0.0004756749021749809,1.557035739883739e-06,0.6379746835443039,High,0.8,160561.75167121703,Moderate
California,0.00022386382213089646,0.0,0.4582278481012658,High,0.8,0.46173511514910553,Low
Florida,0.00016752573813825006,1.0447467788339077e-06,0.5113924050632911,High,0.8,239292.65670842567,Moderate
Minnesota,8.360909080885625e-05,0.0,0.5164556962025316,Moderate,0.5,0.42832458287682984,Low
Tennessee,9.267006422216938e-06,0.0,0.4911392405063291,Moderate,0.5,0.42323155490383474,Low
Pennsylvania,0.0008435140683803722,7.502814705139261e-07,0.46329113924050636,High,0.8,333208.495253698,High
Alabama,0.001695438165305347,1.3311445444601914e-06,0.4607594936708861,High,0.8,187808.51737552858,Moderate
Alabama,1.5955614247499986e-05,0.0,0.4177215189873418,High,0.8,0.45355068604316734,Low
Arkansas,0.0007499927295131538,2.359756237906703e-06,0.549367088607595,Moderate,0.5,105943.33132726097,Moderate
Montana,5.143658857068116e-05,2.0209194447713813e-06,0.5063291139240507,Low,0.2,123706.20014867288,Moderate
New Jersey,0.0002635132324023344,9.479362665095302e-07,0.4607594936708861,High,0.8,263731.02289560187,High
